code,Profit contribution,Net interest income,Intermediate income,Deposit and finance daily
97,559.64,567.2,289.68,50275.38
98,5850.58,5440.46,3087.76,482980.96
99,1087.88,1523.84,1,179313.14
100,7585.92,9162.96,3228.94,813513.58
101,3381.24,4631.16,197.22,411123.56
102,282.06,25.56,378.36,2179.94
103,79.32,1,114.2,1
104,-16.04,3.5,8.54,225.4
105,-157.62,2.68,1,180.84
106,2828.86,2111.9,2023.7,187431.96
107,705.1,101.04,1205.16,8882.98
108,-178.36,5.92,1,506.92
109,121.58,195,19.86,17227.76
110,-79.26,1,1,4.5
111,-79.18,1.2,1,18.26
112,138.32,41.02,182.14,3555.66
113,407.14,171.66,514.16,15156.06
114,-40.76,26.18,29.3,2232.1
115,5607.66,1284.62,2282.18,114167.8
116,-68.08,3.64,1,232.62
117,837.02,208.54,1019.84,18426.82
118,3174.72,3179.96,1354.2,282267.3
119,169.44,274.7,1,29180.26
120,-19.58,1.02,17.98,3.38
121,-72.3,4.5,8.54,310.92
122,660.04,36.2,959.5,3125.48
123,860.52,252.88,1180.22,22361.98
124,506.6,204.2,549.78,18042.76
125,-78.48,2.3,1,114.9
126,39.52,1.52,93.66,47.9
127,1873.46,1229.36,1918,109070.54
128,1071.02,123.34,1423.28,10862.68
129,797.14,351.16,944.4,31094.12
130,766.32,1054.4,1,93533.42
131,-44084.38,46191.78,453.8,1144.18
132,325.04,71.32,440.6,6246.04
133,364.74,29.98,538.72,2523
134,89.14,16.02,142.84,1333.52
135,-70.42,1.14,22.9,14.66
136,-21.22,1.48,1,42.94
137,687.9,89.3,906.72,7840.64
138,35.32,1.12,76.52,9.84
139,450.84,294.7,361.44,26077.18
140,92.76,165.66,1,14619.46
141,417.26,137.84,487.8,12147.14
142,204288.14,306744.22,49692.26,86788116.74
143,3052.56,3105.18,1291.6,276183.2356
144,14441.16,15176.46,6889.56,1344119.56
145,179.82,107.74,388.82,9479.96
146,2652.36,3743.18,1,332278.96
147,1179584.94,-29577.78,1,1
148,50109.16,69906.06,546.28,6207034.88
149,762.44,1054.84,1,93573.84
150,574.22,332.12,527.42,29400.92
151,2804.08,3680.64,316.08,340056.5534
152,1025.44,69.08,1444.38,6045.6
153,52.88,118.06,1,10391.7
154,18336.56,9980.52,7074.94,896847.38
155,11018.64,14514.2,1836.9,1288661.72
156,20.62,50.7,1,4415.3
157,95333.04,92567.28,55176.12,8732422.1
158,133.3,2.16,230.82,103.02
159,826.62,389.82,819.92,34525.76
160,51.7,23.8,133.06,2025.44
161,-9.92,1.1,1,10.94
162,175.66,251.84,38.74,22273.4
163,-4.3,2.66,8.54,148.3
164,-89.52,3.26,19.88,199.14
165,6890.42,10493,1172.72,931609.68
166,12952.36,17586.56,1161.38,1561465.2
167,-15.74,1.12,1,8.22
168,766.16,16.62,1057.56,1390.22
169,-1.24,1,1.36,1
170,265.88,146.3,508.54,12905.72
171,368.7,168.2,641.3,14844.74
172,1190.34,1089.68,567.04,96669.96
173,1615.5,177.36,3657.38,15657.04
174,43.9,8.32,116.3,650.94
175,468.8,4.76,680.2,332.78
176,1018.1,2.12,1450.04,102
177,72.78,83.12,34.96,7291.06
178,44.68,1,66.66,1
179,-0.02,1.02,10.44,1.82
180,-13.82,1.36,1,30.36
181,198.14,167.62,1031.24,14795.84
182,139681.02,234236.74,1478.28,20798336.52
183,87.4,26.02,434.98,2224.2
184,1406.74,724,1284.02,64198.04
185,2633.5,780.82,685.9,69242.04
186,721.54,76.24,970.8,6678
187,146621.92,132036.08,1,145176.14
188,163.5,255.68,59.5,22614.28
189,3272.7,1412.4,3685.96,125318.52
190,411.4,214.9,372.9,18994.72
191,2707.66,2707.96,1186,240359.12
192,-8.34,1,1.02,1
193,9262,13278.44,3746.34,1178932.8
194,1667.94,1049.04,1346.3,93057.68
195,1478.4,972.7,1212.34,86282.34
196,1692.96,943.48,1491.66,83686.9
197,177.76,178.38,51.94,15750.88
198,5579.38,730.54,776.46,71447.1
199,36.22,46.98,21.3,4080.62
200,3207.78,4178.08,465.94,370888.14
201,285.08,3.06,546.8,182.86
202,727.34,65.94,1042.5,5766.06
203,7473.2,322.84,2657.68,28574.06
204,737.68,277.6,1050.08,24562.04
205,276.72,8.64,378.36,678.62
206,2350.58,2559.96,778.36,227213.16
207,1632.22,384.56,1963.28,34056.46
208,1473.18,472.72,2461.32,41881.02
209,16059.6,23371.06,1474.18,2075081.38
210,3590.3,3516.2,1965.22,312121.82
211,2203.22,1775.76,1340.68,157586.68
212,540.42,861.92,1,76438.56
213,629.64,547.82,567.04,48554.54
214,-20.94,1.84,1,77.62
215,57586.28,82905.56,1661.38,125234.64
216,94323.02,143989.5,736.84,12785072.72
217,59.08,1.1,170.86,9.84
218,929.88,179.86,1210.4,15879.28
219,1875.94,1653.94,972.7,146770.04
220,472.04,713.3,1,63245.32
221,-72.74,1.24,1,23.52
222,-3.12,1,10.06,1.24
223,4618.38,4719.46,423.64,424463.72
224,1459.4,611.38,1659.56,54197.98
225,575.06,114.68,806.7,10093.26
226,765,74.24,1078.04,6505.9
227,24426.52,32739.42,1638.76,115705.64
228,129.44,1.8,237.8,72.42
229,18050.32,21887.32,2762.58,4405006.426
230,89.48,7.32,190.42,561.96
231,7508.18,5408.4,2080.24,480161.26
232,1317.94,129.12,1921.8,11374.78
233,111.1,1,161.38,1
234,9140.18,10202.88,2142.5,905850.8
235,54.74,1,133.08,1.44
236,9491,3958.56,1836.84,351404.9
237,785.34,94.94,1173.76,8340
238,114.7,34.48,190.02,3554.22
239,390.36,134.88,470.78,11889.26
240,12984.72,6893.9,4489.7,612036.88
241,8.16,42.8,1,3274.8
242,774.1,19.86,1274.58,1674.34
243,224.84,3.5,331.18,220.06
244,1369.9,834.32,1300.98,73993.9
245,2984.84,4992.72,10.44,443223.84
246,22477.26,4249.6,8242.72,377294.34
247,874.76,209.58,1057.56,18520.4
248,-0.3,31.36,1,2695.46
249,30.28,55.92,1,4876.9
250,61310.78,101587.54,1184.04,9020108.32
251,277311.92,391181.96,2423.66,34733868.26
252,4552.06,3580.18,2077,350877.96
253,34.56,65.18,142.5,5701.44
254,860.06,511.9,695.42,45366.54
255,-8.9,2.5,1,135.16
256,4234.12,2541.08,3699.12,225536.12
257,402.38,141.54,663.26,12478.08
258,70.58,143.42,1,12648.22
259,-37.46,2.08,1,85.9
260,45.5,2.84,85.9,164.9
261,104182.34,155341.82,2146.34,13803642.88
262,14192679.68,14316281.4,5530233.74,448232299
263,2440.36,3168.74,302.96,281269.62
264,72.74,1.52,133.08,48.78
265,-1217232.78,443409.74,-845.86,16.48
266,1668.08,516.58,2419.92,45778.46
267,3039.32,3394.88,1529.32,301351.58
268,-10.38,1.74,1.84,66.86
269,44170.46,57657.14,5825.54,5119422.8
270,390.56,15.8,554.04,1316.32
271,63.3,1.06,125.06,5.9
272,2125.5,1819.56,1125.52,161472.24
273,25.96,152.5,48.16,13451.3
274,339.18,2.96,630.98,173.42
275,-2.72,32.58,1,2805.88
276,24.34,1.14,95.36,13.72
277,-17.3,10.3,1,823.98
278,716.34,172.44,1183.96,15221.66
279,12926.66,20481.4,567.04,1818502.22
280,-21.46,1.12,1,6.7
281,-70.2,13.56,16.1,1115.58
282,795.7,22.84,1179.36,1939.72
283,68.42,1,95.34,1
284,377.4,343.1,521.74,30375.22
285,1073.54,611.24,906.66,54187.12
286,-9.86,1.2,1,16.5
287,7.58,1.1,161.38,9.46
288,720.76,58.14,1085.94,5072.54
289,-27.74,1,1,5.4
290,-10.44,1.52,1,47.28
291,868708.7,1236033.7,2470.3,109750215.5
292,-13.12,4.48,1.2,309.32
293,431.3,80.32,704.74,7042.62
294,22732.96,24401.12,7103.56,2966542.1
295,129547,237375.2,2880.7,1035.84
296,5015.62,4417.86,2544.44,392183.1
297,765.36,15.38,1057.56,1278.24
298,672.04,166.74,1029.38,14715.94
299,750.06,8.18,1057.56,639.98
300,66.46,29.66,85.9,2545.24
301,16439.14,22417.52,1,1990414.76
302,2933.04,1535.22,2887.76,136227.96
303,1912.28,2616.82,642.48,546913.2
304,-20.68,2.24,1,108.8
305,986.5,5.5,1344.14,400.36
306,25.7,90.62,12.32,7957.6
307,15936.48,22679.6,1,2013686.46
308,400.2,198.56,463.26,17546.7
309,38.86,196.68,95.34,17373.94
310,-292694.5,1406351.58,11719.24,1614.24
311,2188.76,1722.72,1683.96,152873.26
312,-18.88,1.1,55.72,8
313,5331.7,6318.48,2023.64,560945.68
314,284688.1,444276,1816.16,45846079.64
315,5966.54,7859.88,633.08,697810.04
316,-17.36,2.66,2.22,147.52
317,262.54,11.46,378.36,929.82
318,-75.84,3.24,1,194.8
319,518.7,147.1,636.86,12970.14
320,325.5,123.24,531.18,10857.66
321,473836.1,665749.04,378.36,96925766.62
322,-21.78,84.7,1,7434.64
323,1272.8,126.5,319.78,11850.72
324,3449.34,5050.94,567.04,448395.82
325,329.46,114.28,470.8,10059.22
326,261.64,398.94,16.1,35334.64
327,338.6,14.78,668.98,1226.84
328,11.12,19.68,10.74,1659.72
329,13883.76,19175.82,567.04,1702577.14
330,243.76,21.42,470.74,1815.38
331,906.3,386.74,932.32,34251.08
332,55596.6,80231.6,8870.66,47757.96
333,11.76,49.78,6.04,4332.54
334,422.04,239.88,378.36,21209.84
335,17240.52,23967.94,595.34,2128080.58
336,2699.12,3321.74,454.44,294856.42
337,2946.02,498.1,1406.68,44139.06
338,273.56,14.12,378.36,1167.28
339,398.22,32,606.82,2752.86
340,36.26,1.68,85.9,60.98
341,224686.58,243837.9,58788.38,513716.4422
342,-78.48,1.84,1,96.92
343,2261805.64,-74737.08,1,1
344,772.16,142.32,982.14,12547.28
345,1836.42,1759.24,1495.34,156120.04
346,1824.5,1513.72,1016.1,134318.4
347,20.04,46.56,1,3569.48
348,449.12,43.28,604.76,3752.1
349,53338.34,78952.6,5108.38,7009867.12
350,821.22,19.28,1427.42,1622.52
351,1247.28,1153.78,600.34,102357.38
352,147.66,243.84,1,21562.24
353,770.9,188.88,978.36,16681
354,483.18,5.32,680.2,384.92
355,312.92,13.3,612.56,1094.5
356,-16.18,10.94,2.3,885.02
357,74299.8,105151.86,717.98,9336589.48
358,464.32,241.8,742.52,21381.86
359,483.7,362.86,378.36,30753.14
360,1510.48,8.52,2123.7,668.94
361,1417.86,15.76,2069.34,1308.22
362,5553.62,6319.4,1265.14,561027.32
363,445.48,1,331.18,1
364,5310.04,5409.84,2050.42,480265.66
365,28064.12,38801.74,897.22,3445209.44
366,-74.48,4.74,1,334.26
367,2195.7,1932.5,1546.24,171505.84
368,2719.98,3709.96,4399.16,329329.82
369,862.58,750.6,942.52,66560.8
370,24495.2,27391.42,5657.62,2432061.54
371,380.94,104.92,482.14,9229.32
372,7862.12,10084.84,623.3,895370.36
373,289.42,14.52,705.7,1200.82
374,87.88,6.98,151.94,531.5
375,670545.6,694222.76,188850.06,143204420.9
376,-2.76,1,26.08,1.1
377,6172.3,7135.52,1314.2,633490.2
378,10949.4,12162.46,3520.6,1079840.32
379,4337.88,3946.06,1804.02,355404.3
380,-25.78,1.06,1,7.56
381,19236.14,25622.22,459.26,2274967.04
382,708.1,344.1,1093.52,30464.92
383,328711.06,447797.62,1,17375.82
384,393.22,363.76,442.52,32210.36
385,1206.72,839.44,1121.76,74445.08
386,1598.72,566.06,1831.2,50176.46
387,771.76,40.2,1085.9,3479.78
388,10298.3,6839.56,755.72,618104.34
389,69.54,1,95.34,1
390,121.64,1.14,182.2,13.34
391,85490.16,75612.84,16078.42,142961.2711
392,-21.44,1.16,1,16.16
393,40.2,2.04,227.44,92.82
394,1193.62,538.9,1212,47761.6
395,490.76,1,661.38,1
396,112.42,1,161.38,1
397,562.06,396.54,393.46,35120.34
398,11077.22,12616.36,2708.62,1120147.62
399,660.1,37.64,1057.56,3255.86
400,344.84,288.24,247.66,25504.88
401,488.44,65.94,651.94,5767.38
402,906.66,229.9,1189.68,20327.66
403,2071596.84,-51486.62,1,1
404,31218.7,43030.32,2593.46,3820672.52
405,1096.98,240.28,1497.2,21245.06
406,124.4,27.86,181.7,2387.78
407,1152385.62,2894909.12,12213.06,536257.72
408,2247.88,936.52,4278.62,83065.38
409,497.72,16.18,687.74,1351.58
410,357.38,174.34,368.92,15391.68
411,4280.92,6174.1,48.18,548126.98
412,-20.02,3.2,1,193.86
413,418.18,43.26,567,3751.68
414,193.76,29.26,410.44,2509.16
415,416.6,654.84,1,58054.58
416,-12.06,1.1,1,7.66
417,885.66,11.34,1246.24,913.74
418,-35.04,85.44,39.54,7500.26
419,1096.56,915.06,1812.36,81161.4
420,-10,1,1,1.72
421,-12.5,6.46,1,487.78
422,356.28,26.84,493.8,2295.6
423,188.62,2.94,378.32,174.08
424,1153.7,275.32,2098.4,24360.26
425,1103.18,1148.46,1021.8,101886.36
426,9.32,19.36,23.64,1631.86
427,28.34,4.6,61.04,320.88
428,76133.82,106313.7,3236.86,9439753.64
429,2144.12,2426.74,906.66,215388.86
430,2086.34,3067.22,1151.96,272255.78
431,191.02,1.04,273,3.98
432,10.92,1.78,355.2,71.88
433,-0.9,1,2.34,1
434,265.14,11.58,378.36,940.94
435,683.82,560.84,378.36,49709.74
436,-0.86,49.14,1,4274.88
437,9.68,55.42,1,4831.32
438,-12.66,5.3,1,382.48
439,17043.52,22128.66,2089.76,1964765.94
440,3183.48,3321.42,1825.52,294829.2
441,90416.66,127010.7,1504.8,11277485.82
442,617.96,1,1.9,1
443,-161273.48,208987.8,7725.38,2534088.72
444,218.34,8.44,321.76,661.24
445,-12.02,1,1.34,1.22
446,-11.66,1.86,36.7,76.96
447,421.88,625.54,431.18,55456.72
448,1108.78,914.02,727.42,81067.52
449,4134.96,4088.86,1967.1,386305.8334
450,367.54,2.02,541.26,93.08
451,-86.66,3.26,19.86,202.06
452,6928.88,1648.98,6480.38,146356.08
453,651.84,9.38,904.76,740.92
454,2723.96,3344.78,378.36,296906.44
455,958.64,336.64,1010.42,29801.66
456,326.94,144.26,770.84,12721.66
457,793.9,71.4,1057.56,6248.34
458,1241.6,490,1463.26,43418.58
459,14165.66,18498,4218.08,1642394.44
460,1036.16,164.68,1293.44,14532.04
461,-70.28,1.14,23.1,15.02
462,346.4,691.74,1,61333.88
463,228.36,21.64,448.18,1834.26
464,-8.78,1.08,1,8.86
465,218.76,41.04,284.08,3560.52
466,744.86,267.76,776.84,23686.9
467,110.38,1,161.38,1
468,3327.68,3302.56,604.76,432656.08
469,1382.9,397.76,1510.44,35225.32
470,-2.68,1,1.08,1
471,133,44.92,385.9,3906.04
472,94.2,152.3,50.06,13433.86
473,6929.56,8468.94,1144.5,751888.4
474,815.04,605.08,634.96,53638.02
475,4599.8,684.98,2680.88,65379.62
476,840.98,121.46,1038.7,10697.18
477,0.4,15.04,1,1249.4
478,-15.1,1.98,1,91.28
479,-13.22,5.74,11.06,422.18
480,595.7,31.04,1134.96,2664.84
481,1385.64,1179.28,957.68,104628.6
482,-79.14,1.12,1,9.22
483,20.34,13.46,42.5,1106.38
484,2744.16,1268.88,3057.62,112576.26
485,3178.86,2350.48,2191.6,208615.48
486,993.28,60.36,1395.28,5272.82
487,300.02,1.36,479.74,35.82
488,-75.92,6.2,1,607.72
489,-76.96,1.36,1,28.96
490,292,75.54,821.78,6616.32
491,4159.4,4045.72,1950.96,359140.7
492,23830.08,33524.26,1099.12,2976606.42
493,70.22,7.6,102.88,587.58
494,-0.78,1.04,24.6,3.66
495,54.44,1,105.24,1.7
496,642.04,53,1006.38,4618.54
497,314392.82,424149.56,-3336.42,1043819.002
498,879.96,30.56,1246.24,2623.2
499,557.94,1,795.34,1
500,296.58,7.68,474.22,596.82
501,-4.78,1.14,10.44,12.9
502,-40.08,77.64,42.48,6803.1
503,16.88,2.54,68.28,136.86
504,754.84,871.32,1031.2,77279.38
505,12660.4,17230.56,1,1529851.8
506,5948.2,8397.24,27.4,745523.18
507,-22.1,10.38,16.1,834.68
508,533.5,248.32,663.72,21961.78
509,12090.84,6581.96,3761.76,2419563.882
510,1369.7,8.34,1884.74,651.66
511,1823.12,1365.2,2425.58,121130.66
512,702.48,193.62,897.28,17105.8
513,5104.68,7138.6,95.34,633764.06
514,1626.12,509.1,1821.76,45113.3
515,648.14,911.66,1,80862.22
516,2732.5,2125.8,1784.02,188664.54
517,121.82,5.86,268.4,432.78
518,2520.28,3409.08,1989.54,302609.68
519,9.04,37.74,1,3261.2
520,1237.64,166.26,1610.28,14678.7
521,139000.3,139592.72,9590.24,49428008.2
522,460.3,208.46,585.9,18421.84
523,917.78,582.52,953.84,51639.66
524,239.46,432.2,165.14,38287.36
525,2089.88,2260.32,844.44,200613.06
526,188.28,342.32,1,30305.96
527,67.94,1,95.34,1
528,472.14,38.2,680.2,3300.8
529,2244.76,99.2,2972.68,8719.62
530,2285.18,1180.98,2048.16,104772.5
531,1858.5,1525.76,1821.74,135391.56
532,5.02,1,16.1,1
533,19.34,50.08,1,4357.52
534,778.32,199.46,972.7,17624.02
535,-25.66,10.56,2.2,853.64
536,-15.48,5.86,8.54,433.14
537,5201.34,6791.26,567.04,602922.04
538,-18.52,1,1,2.8
539,-75.3,7.16,1,548.52
540,267.62,89.8,340.6,7886.32
541,910.02,107.02,1572.72,9412.02
542,67.3,2.76,189.98,154.62
543,157.32,373.38,1,29160.98
544,1213.5,412.7,1302.9,36558.1
545,88.82,1.04,187.78,3.52
546,128.58,135,138.72,11898.16
547,-72.72,1.28,1,26.32
548,365.06,131.06,378.36,11551.64
549,-21.7,3.32,2.74,208.92
550,100330.86,138903.02,2265.16,12330273.08
551,495.38,41.86,684.94,3631.92
552,-21.44,1.26,1,24.04
553,118894.6,76004.42,10184.28,8002860
554,427.64,147.02,618,12967.14
555,-3.18,1,1.06,1
556,1348.32,234.2,1668.96,20707.7
557,1474.48,518.32,1382.88,45947.44
558,1978.3,2820.46,85.9,250352.16
559,55666.2,98574.72,1,8752592.42
560,599.68,38.38,897.22,3318.52
561,537.42,202.72,611.18,17911.68
562,1002.5,570.16,1038.72,50537.76
563,1100.18,1703.68,1,151185.02
564,1242.82,198.66,1597.26,17551.42
565,1287.66,336.88,1510.44,29824.8
566,955.3,555.3,1019.84,49217.4
567,-2.78,1,2.88,1
568,65.28,1.2,95.34,17.58
569,-9.22,12,19.86,975.58
570,23.88,1.04,38.74,3.8
571,33,49.58,27.4,4312.2
572,15100.14,21724.32,2507.82,1928871.12
573,73.02,75.88,85.9,6648.82
574,132545.64,189784.4,1273.98,16851310.1
575,9.06,1,19.86,1
576,831.8,206.72,1085.9,18265.52
577,267.76,19.76,378.36,1668.14
578,1498.62,1871.28,161.38,166068.72
579,1215.4,761,1053.84,67482.5
580,392.88,105.48,453.8,8890.2
581,-8.44,3.2,1,189.24
582,426.06,135.36,484.02,11928.7
583,419.02,99.56,619.88,8751.02
584,282.66,592.24,1,52494.2
585,266.56,4.64,378.36,324.92
586,479076.4,730458.72,1314.2,64859033.8
587,72.26,119.4,1,9272.42
588,144.9,180.54,51.94,15939.62
589,67,1.52,114.28,48.44
590,844.64,35.62,1123.68,3075.36
591,66.56,1,95.34,1
592,29.46,89.84,1,6957.1
593,291.12,204.02,333.1,18030.46
594,848.44,250.26,1114.22,22132.34
595,-79.58,1.44,16.1,37.54
596,-25.64,1,3.04,1.04
597,2136.42,3753.94,19.88,740068.84
598,309.06,46.18,440.64,4014
599,127.8,135.26,85.9,11924.24
600,-27.72,1.04,1,3.9
601,1140.12,1123.62,701,99682.74
602,328.68,183.16,311.2,16174.2
603,34.08,81.9,195.58,7181.64
604,2777.7,2483.34,1514.2,219794.22
605,-13.8,1,2.88,1.02
606,76.06,119.86,1,9897.68
607,4784.98,5770.18,1099.18,512260.66
608,270.52,12.68,378.36,1036.16
609,276.64,515.18,1,45656.46
610,1.9,1.04,28.72,5.1
611,35.58,17.82,63.28,1493.24
612,44.86,106.64,1,9378.92
613,239.7,49.64,373.48,4318.54
614,109.74,1,151.94,1
615,-1.22,1,1.04,1
616,-19.86,1,1,1.42
617,430.62,162.82,463.26,14368.64
618,1076.4,255.04,1482.14,22557.74
619,277.4,104.8,425.5,9216.56
620,79.92,1,116.62,1
621,798.9,108.46,1110.5,9544.14
622,47.12,2.96,78.96,171.84
623,28121.74,40849.4,708.56,3627022.16
624,9132.52,4148.02,3498.82,371173.98
625,5913.26,6422.5,1848.16,570181.62
626,145.56,5.5,208.54,401.02
627,1713.52,391.38,2242.16,34658.04
628,177.46,185.84,134.96,16415.12
629,564.28,442.7,378.36,39219.82
630,33237.7,12577.14,7876.92,1122634.92
631,284.38,121.46,333.36,10695.46
632,1.08,108.32,1,9531.36
633,-20.76,2.18,1,105.88
634,13359.42,15326.82,3038.74,1360816.16
635,395.38,14.1,680.2,1163
636,5068.08,7500.36,1640.64,665881.46
637,332.24,216.02,302.92,19089.62
638,-0.28,1,2.88,1
639,1071.98,52,851.9,4549.4
640,272.04,483.94,76.46,42882.42
641,20.92,1.02,38.74,2.76
642,1182.8,756.12,974.6,67052.42
643,76.32,5.38,104.78,389.64
644,438.66,654.52,1,58029.98
645,-10.92,1,1.06,1
646,340.38,55.16,485.92,4809.56
647,58.74,102.66,1,9025.22
648,-74.54,5.7,1,419.52
649,80.48,34.1,115.7,2940.16
650,976.26,426.86,1023.64,37812.42
651,252.18,6.66,378.34,500.68
652,10.16,1.14,56.72,14.94
653,12542.02,15667.84,6635.08,1391097.14
654,16.68,3.68,109.52,238.94
655,1603.02,1340.42,1009.46,118934.82
656,2360.78,1917.12,2001.04,170139.52
657,66.76,1,104.78,1
658,65.36,1.02,95.36,1
659,2531.78,2223.26,1629.3,197322.28
660,-15.22,1.82,1,74.1
661,33,77.88,1,6405.32
662,-17.24,1.58,1,52.84
663,2821.52,4264.4,378.36,378557.94
664,31496.14,27189.24,4252.2,2414105.96
665,-6.22,1.06,1,4.52
666,163.8,37.64,319.88,3251.24
667,-32.6,17.3,1,1786.2
668,4823.92,5551.18,1180.24,492809.18
669,652.56,9.68,897.22,772.72
670,909.1,777.54,538.8,68952
671,375.18,162.76,378.36,14361.82
672,3060.34,4409.12,1,391409.78
673,809.08,183.56,1251.92,16210.12
674,362.92,37.92,661.34,3276.88
675,-9.92,1.12,1,11
676,-1.24,1,1,1.02
677,16019.44,21125.58,1953.78,1875700
678,37.06,1.12,86.4,9.9
679,-9.4,1.28,30.7,25.66
680,873017.22,720140.82,631599.54,48549033.3
681,44.52,1.56,85.9,53.52
682,-8.52,1,24.06,1
683,570.9,1.46,973.06,41.12
684,628.18,292.5,585.9,25885.06
685,-5.74,1,18.96,2.4
686,3863.5,3773.66,2215.92,334987.52
687,-18.48,5.1,1,364.76
688,-4.44,1,1.3,1.02
689,50.22,78.7,57.46,6903.16
690,505.48,55.24,661.44,4814.86
691,747.36,743.12,504.78,65895.4
692,-57,50.7,82.6,4413.94
693,238.8,384.96,42.5,34094.62
694,10.2,29,1,2486.36
695,10749.4,3077.02,11417.96,273127.68
696,3644.56,2546.32,2688.18,225904.84
697,27.9,68.96,1,6034.82
698,187.74,184.3,182.52,16273.88
699,73.42,3.18,114.2,194.06
700,34.64,6.98,101,533.88
701,26.92,28.78,144.94,2468.54
702,3391.5,2066.96,2736.92,183440.08
703,794.22,241.74,938.72,21378.06
704,1473.34,747.58,1423.64,66293.7
705,79.04,1.14,182.36,13.36
706,79.14,42.06,96.16,3646.78
707,654.74,5.86,989.46,438.1
708,27633.82,44509.66,4890.82,3952024.76
709,7811.52,9757.14,1529.3,866269.2
710,12.82,11.14,154.54,902.74
711,347.48,175.86,53.84,15528.66
712,1667.6,553.1,2121.64,49023.74
713,3275.28,2336.66,2344.44,207393.28
714,1340.94,675.62,2103.52,59899.82
715,425.02,689.28,1,54567.42
716,781.14,283.34,1208.6,25071.06
717,-51.8,1,1,1.96
718,113.98,82.56,170.8,7242.34
719,27808.3,17167.42,12261.18,167605.86
720,89.56,137.8,19.86,12147.48
721,1115.7,1022.12,1336.86,90666.46
722,1441.82,196.22,1850.04,17333.24
