V1,V2,V3,V4,V5,V6,V7
0,22.76,2,1,3.94,0,0
0,39.02,4,1,13.18,1,0
0,39.02,4,1,14.5,0,1
1,23.58,4,4,23.19,0,0
1,34.96,1,4,23.74,0,1
0,18.7,2,1,9.99,1,0
0,23.58,1,1,21.21,0,1
0,32.52,3,1,3.39,1,0
0,17.89,1,1,7.46,1,0
0,18.7,2,1,17.14,1,1
0,37.4,4,1,18.13,1,1
1,44.72,2,1,10.1,1,0
0,30.89,1,1,1.96,1,0
0,28.46,1,1,4.38,0,0
0,24.39,2,1,2.29,1,1
0,19.51,2,1,8.45,1,1
0,21.14,1,1,11.75,0,1
1,26.02,1,1,11.31,1,0
0,30.08,1,1,5.15,0,0
1,31.71,2,1,23.19,1,0
0,24.39,1,1,21.43,1,1
0,24.39,2,1,11.75,1,1
0,26.02,1,1,6.03,1,1
0,43.9,4,1,17.14,1,0
0,21.95,4,1,15.93,0,1
0,25.2,2,1,27.37,0,0
0,31.71,2,1,3.28,0,1
0,25.2,2,1,16.81,0,1
0,28.46,2,1,21.65,0,0
0,28.46,1,1,15.93,0,1
0,37.4,1,1,13.51,1,0
1,26.83,2,1,24.73,1,1
0,28.46,1,1,3.39,0,1
0,28.46,1,1,9.99,1,0
0,30.89,2,1,11.2,1,1
0,33.33,2,1,9.88,1,0
0,30.89,2,1,6.25,1,1
0,27.64,4,1,15.82,0,0
0,41.46,4,1,6.14,0,0
0,27.64,1,1,11.75,1,1
0,38.21,2,1,28.25,1,0
0,27.64,1,1,7.24,1,0
0,21.95,1,1,14.39,0,0
1,42.28,2,1,22.42,0,0
0,31.71,2,1,6.8,1,0
0,26.83,2,1,8.34,1,1
0,27.64,2,1,9.22,1,0
1,25.2,4,1,17.36,1,0
0,22.76,2,1,18.02,0,0
0,31.71,2,1,5.37,1,1
0,41.46,1,1,9.66,0,0
0,17.89,2,1,2.62,0,0
0,21.95,4,1,12.74,1,0
0,26.02,2,1,24.4,1,0
0,22.76,1,1,9.22,1,1
1,21.95,1,1,12.63,1,1
1,21.14,1,1,16.26,1,0
0,26.02,2,1,3.94,1,1
1,24.39,2,1,5.37,0,1
0,31.71,2,1,11.09,1,1
1,25.2,2,1,6.58,1,0
1,27.64,2,1,28.47,0,1
0,25.2,2,1,15.16,0,0
0,23.58,1,1,12.74,1,1
0,23.58,2,3,16.59,1,0
0,28.46,1,1,9.66,0,0
0,23.58,2,3,7.9,0,0
1,30.89,1,1,26.27,1,1
0,28.46,2,3,5.04,1,0
0,23.58,2,1,8.01,1,1
0,18.7,1,1,6.14,0,0
0,26.83,3,2,7.35,0,1
0,41.46,1,3,4.38,0,0
0,19.51,2,2,4.16,1,0
1,25.2,2,2,12.08,1,1
0,36.59,2,2,7.24,1,1
0,23.58,2,2,11.2,1,0
0,27.64,2,1,20.11,0,0
1,20.33,1,1,6.8,0,0
0,30.08,2,1,3.39,0,0
1,38.21,2,1,29.13,0,0
0,34.96,1,1,11.86,0,0
0,38.21,2,1,7.35,0,1
0,19.51,2,1,7.02,1,0
0,21.95,4,1,8.23,0,1
0,20.33,2,1,2.62,1,0
0,29.27,4,1,17.47,1,1
0,31.71,2,1,22.64,1,0
0,21.14,2,1,9.11,1,0
0,33.33,2,1,12.41,1,1
1,31.71,2,1,31.11,1,1
0,30.08,2,1,14.61,0,1
1,23.58,2,3,17.14,0,0
0,34.15,2,1,14.06,1,1
0,25.2,3,1,13.51,0,0
0,29.27,2,3,20.33,1,0
0,31.71,2,1,23.3,0,1
0,18.7,3,1,8.67,1,1
0,31.71,2,1,9,1,1
1,21.95,4,1,4.71,1,0
0,19.51,2,1,6.8,0,1
1,21.95,4,1,13.4,1,0
0,33.33,2,3,3.06,1,0
1,30.89,2,1,10.21,0,1
1,32.52,1,1,19.34,1,0
1,43.9,2,1,30.45,1,1
0,32.52,2,3,20.44,1,0
0,32.52,2,1,5.37,1,0
0,23.58,2,1,10.1,0,1
0,24.39,2,1,14.5,1,0
0,23.58,2,1,2.51,0,1
1,23.58,4,1,3.94,1,1
1,22.76,3,1,4.05,0,0
0,22.76,3,1,12.74,1,0
0,31.71,1,1,17.03,1,0
0,26.02,2,1,4.93,0,1
0,29.27,1,1,18.24,0,0
0,31.71,2,1,10.32,0,1
1,22.76,4,1,23.08,1,1
1,22.76,2,1,16.92,1,1
0,37.4,2,1,14.72,1,0
0,24.39,1,1,8.45,0,0
0,31.71,1,1,6.69,0,0
1,32.52,4,1,18.9,0,1
0,35.77,1,1,16.04,1,0
1,24.39,2,1,19.56,1,0
0,19.51,1,1,6.03,1,0
0,26.02,2,1,13.73,1,0
0,23.58,1,1,4.16,0,0
0,32.52,1,1,5.48,1,1
0,33.33,1,1,2.07,0,0
0,17.89,2,1,21.76,0,1
0,30.89,2,1,2.62,1,1
0,30.08,1,1,10.65,0,0
1,33.33,4,1,18.57,0,1
1,33.33,4,1,17.25,1,1
1,31.71,2,1,26.71,1,1
1,19.51,1,1,19.01,0,1
0,26.02,4,3,26.6,1,0
0,17.07,4,1,9.77,0,0
0,23.58,2,1,3.83,0,1
0,28.46,1,1,2.18,0,0
0,23.58,2,3,21.21,1,1
0,33.33,1,1,8.67,0,0
1,30.08,2,1,15.49,0,0
0,26.02,1,1,3.39,0,1
0,29.27,5,1,10.21,0,0
0,31.71,1,1,3.61,1,0
0,29.27,2,1,13.62,1,0
0,37.4,4,3,3.83,1,1
0,27.64,2,1,11.86,0,0
0,21.95,2,1,11.31,0,0
0,34.96,2,1,4.93,0,0
1,26.83,2,1,46.73,1,0
0,31.71,1,3,2.84,1,1
0,23.58,2,1,4.05,0,0
0,27.64,3,1,8.34,0,0
0,21.14,2,1,6.69,1,1
0,25.2,2,1,6.58,1,0
0,21.14,2,3,4.27,0,0
0,22.76,2,1,9.77,1,0
1,39.02,2,1,35.18,0,0
1,31.71,1,1,18.9,0,0
0,30.08,2,1,5.37,0,0
1,42.28,5,1,11.64,0,0
0,39.02,2,1,24.73,1,0
0,21.14,2,1,6.91,0,1
0,37.4,5,1,4.71,0,0
0,25.2,2,1,6.69,1,0
0,27.64,2,1,8.01,0,0
0,32.52,2,1,5.26,0,1
1,19.51,4,1,8.34,0,0
0,26.83,2,1,4.71,0,0
1,43.09,3,1,20.33,0,1
1,38.21,4,1,23.41,1,0
0,28.46,2,1,15.6,1,1
0,27.64,2,1,20,1,1
0,39.84,2,1,12.41,0,0
0,21.14,1,3,11.53,1,1
1,18.7,2,1,11.86,0,1
0,18.7,1,3,10.87,1,0
0,30.89,1,3,3.06,1,1
0,22.76,1,3,10.43,1,0
1,24.39,4,3,33.97,1,0
0,27.64,2,3,18.24,0,0
0,40.65,1,3,13.51,1,0
0,23.58,2,3,8.67,0,1
0,34.15,4,3,8.56,1,0
0,25.2,2,3,6.8,1,1
0,31.71,2,3,6.58,1,0
0,36.59,1,3,4.6,1,1
0,36.59,2,3,14.17,1,1
0,29.27,2,3,7.57,1,1
1,20.33,3,3,14.61,0,1
1,32.52,1,3,22.09,1,1
1,17.89,2,3,18.46,1,1
0,31.71,2,1,8.45,1,1
0,33.33,3,1,3.17,1,0
0,27.64,2,1,5.7,1,0
0,23.58,2,1,11.97,0,1
0,25.2,2,1,13.73,1,1
1,26.02,2,1,6.58,1,0
0,26.02,2,1,10.98,1,0
0,26.83,2,1,9.55,1,0
0,21.14,2,1,12.63,0,0
0,17.07,2,1,20.33,0,0
0,22.76,1,1,9,0,0
0,30.08,2,1,11.09,0,1
1,26.83,1,1,26.49,0,0
0,31.71,2,1,6.8,0,0
0,32.52,1,1,7.46,0,0
0,36.59,4,1,4.6,0,1
0,21.95,2,1,8.45,1,1
0,22.76,3,1,27.92,0,1
0,31.71,2,1,10.1,0,1
1,32.52,2,1,17.8,0,0
0,21.95,2,1,19.89,1,0
0,29.27,2,1,11.53,1,0
0,44.72,2,1,18.46,0,0
1,21.95,1,1,15.82,1,0
0,24.39,2,1,13.4,1,1
1,29.27,2,1,13.62,1,1
1,25.2,2,1,4.05,1,0
0,26.83,1,1,9.22,1,0
0,24.39,2,1,5.92,0,1
1,19.51,2,1,7.79,1,0
0,26.83,3,1,6.03,1,0
0,40.65,2,1,8.89,0,1
1,25.2,1,1,26.71,0,1
0,22.76,2,1,5.81,1,0
1,35.77,4,1,8.01,1,0
0,39.02,3,1,12.08,1,1
0,29.27,1,1,11.97,1,1
0,23.58,4,1,7.35,1,0
0,32.52,4,1,7.9,1,0
0,26.83,2,1,7.9,0,0
0,21.14,1,1,2.4,1,0
0,29.27,2,1,9.22,0,0
1,23.58,1,1,24.62,1,1
0,24.39,1,1,8.34,0,0
0,25.2,2,4,6.25,0,1
0,34.96,2,4,6.36,0,1
1,26.02,1,4,27.48,0,1
0,38.21,2,4,34.41,1,1
1,37.4,2,4,17.58,0,1
0,34.96,1,4,5.81,0,1
0,39.02,2,4,9,0,0
0,24.39,4,4,4.38,1,0
1,18.7,3,4,21.54,1,1
0,29.27,3,4,3.06,1,0
0,16.26,4,4,3.83,1,1
0,34.96,2,4,1.74,0,0
1,18.7,2,4,6.25,0,0
0,33.33,2,4,23.85,1,0
1,27.64,2,4,28.91,1,1
0,40.65,2,4,6.58,1,0
0,32.52,2,4,8.56,1,0
1,23.58,1,4,15.49,0,1
0,39.02,2,4,25.83,0,0
0,22.76,2,4,27.48,0,0
1,38.21,4,4,20.66,0,0
0,21.95,1,4,6.14,1,0
0,23.58,1,4,21.54,1,0
1,17.07,1,4,6.25,0,1
1,23.58,2,4,23.08,0,0
1,19.51,3,4,8.56,1,0
0,35.77,2,1,11.97,0,0
0,17.89,2,1,6.14,0,0
0,30.89,1,1,3.94,1,1
0,42.28,1,1,9.77,0,1
1,20.33,2,1,19.23,1,1
0,20.33,2,1,13.29,1,0
0,41.46,1,1,13.95,1,0
0,30.89,2,1,19.45,1,1
0,35.77,2,1,7.02,0,0
1,19.51,1,1,11.97,0,0
0,27.64,2,1,9.33,0,1
0,20.33,1,1,6.25,1,0
1,36.59,4,1,12.85,0,0
0,27.64,1,1,7.68,1,1
1,21.95,3,1,7.57,1,0
1,26.83,1,1,24.29,1,0
1,28.46,1,1,17.8,1,0
0,40.65,1,1,2.51,0,1
0,26.83,2,1,5.26,1,1
1,33.33,4,1,29.02,1,1
1,22.76,2,1,37.93,1,0
1,30.89,4,1,18.9,0,1
1,20.33,2,1,20.88,0,1
1,38.21,1,1,9.11,1,1
0,24.39,1,1,9.22,1,1
0,35.77,1,1,15.6,1,0
1,20.33,2,1,22.09,1,0
1,33.33,1,1,22.75,0,1
0,17.89,4,1,9.77,1,1
1,28.46,1,1,20.22,0,0
0,34.15,5,1,9.88,0,0
0,30.89,2,1,17.47,0,1
1,18.7,1,1,21.87,1,1
0,22.76,4,1,23.19,1,1
0,42.28,2,1,6.47,0,0
0,20.33,2,1,5.15,1,1
0,22.76,1,1,17.47,0,0
0,34.96,2,1,9.55,0,1
0,19.51,1,1,22.31,0,1
0,27.64,4,1,11.42,1,1
0,23.58,1,1,5.92,0,0
0,25.2,2,5,10.43,0,0
1,34.15,1,5,10.76,1,0
0,39.84,1,5,17.8,0,1
0,31.71,2,5,17.03,1,1
0,36.59,4,5,5.92,1,1
0,33.33,2,5,4.49,1,0
0,23.58,1,5,3.06,0,0
0,28.46,4,5,17.91,1,1
0,21.95,1,5,8.78,1,1
0,22.76,2,5,5.81,1,1
0,39.02,2,5,4.82,1,1
0,19.51,2,5,7.9,0,1
0,25.2,2,5,5.92,0,1
0,34.96,2,5,8.34,0,1
0,34.15,2,5,12.96,1,1
0,41.46,1,5,9.88,1,1
1,17.89,2,5,26.71,1,1
1,30.08,2,5,14.17,0,1
1,17.89,4,5,16.48,0,0
1,39.84,1,5,19.89,0,0
0,23.58,2,5,10.32,0,0
0,34.15,2,5,11.97,1,0
0,27.64,2,5,15.82,1,0
0,27.64,1,5,3.17,1,0
1,26.02,1,5,17.8,1,1
0,34.15,1,5,11.86,0,0
1,19.51,2,5,19.01,1,1
0,27.64,2,5,9.66,1,1
0,21.14,2,5,6.47,1,1
0,24.39,1,5,23.41,1,0
1,26.02,2,5,32.65,1,0
0,30.89,4,5,7.57,0,0
0,34.96,1,5,10.65,0,0
0,25.2,1,5,16.15,0,1
0,30.08,3,5,20.33,0,1
1,30.08,1,5,25.17,1,1
1,33.33,4,5,30.45,1,0
1,26.02,2,1,4.6,1,0
1,17.89,1,1,11.2,0,0
0,26.02,1,1,21.32,1,1
0,38.21,1,1,11.75,0,1
0,32.52,2,1,8.12,0,0
0,25.2,2,1,8.67,1,0
0,27.64,4,1,3.72,1,1
0,42.28,3,1,9.77,0,1
1,22.76,2,1,4.05,0,0
0,30.89,4,1,16.04,0,1
0,26.83,1,1,4.71,0,0
0,31.71,1,1,8.56,0,1
0,38.21,4,1,5.7,1,0
0,29.27,1,1,2.73,0,0
1,23.58,4,1,16.26,1,0
1,39.02,3,1,19.45,0,0
0,30.89,4,1,7.68,1,1
0,37.4,1,1,6.03,1,1
1,21.95,4,1,23.19,1,0
0,43.9,2,1,10.65,0,0
1,21.95,3,1,15.27,1,0
0,18.7,2,1,3.06,1,0
0,33.33,2,1,16.37,1,0
1,19.51,2,1,13.73,1,1
1,22.76,2,1,31.77,1,0
0,21.14,2,1,12.85,1,1
1,19.51,2,1,7.46,0,0
0,39.84,1,1,9.33,0,1
0,22.76,1,1,10.76,1,1
0,30.89,2,1,15.6,1,1
0,26.83,1,1,6.25,1,0
0,21.14,2,1,6.47,1,1
0,29.27,2,1,12.08,0,1
1,30.08,4,1,41.56,1,1
1,20.33,3,1,38.04,1,1
0,23.58,2,1,6.58,1,0
0,21.95,1,1,8.89,0,0
0,36.59,2,1,17.8,0,1
0,30.08,2,1,7.35,0,1
1,23.58,1,1,8.01,1,0
1,41.46,2,1,15.82,1,1
1,17.89,4,1,10.54,0,0
0,24.39,3,1,18.57,1,0
0,25.2,2,1,14.83,0,0
1,22.76,2,1,17.58,0,1
0,28.46,2,1,7.57,0,1
1,20.33,3,1,10.65,1,0
1,26.02,1,1,17.58,0,0
0,26.83,2,1,11.86,1,1
1,22.76,1,1,28.91,1,1
0,37.4,4,1,7.24,0,0
0,33.33,2,1,16.7,0,0
0,34.15,1,1,8.78,0,0
0,33.33,3,1,6.8,0,0
1,21.14,2,1,29.57,0,0
0,38.21,2,1,11.42,0,1
1,23.58,2,1,29.46,0,0
0,27.64,2,1,6.47,1,1
0,29.27,2,1,8.12,0,1
0,30.89,1,1,4.6,1,1
1,33.33,1,1,22.42,0,0
0,37.4,2,1,16.48,1,1
1,32.52,4,1,19.45,1,1
0,35.77,1,1,4.05,0,1
0,28.46,4,1,12.74,1,0
0,29.27,2,1,7.24,1,0
1,22.76,1,1,6.58,1,1
1,23.58,1,1,6.91,1,0
1,18.7,1,1,13.84,0,1
0,33.33,1,1,18.24,1,0
0,20.33,2,1,8.89,1,0
0,36.59,1,1,7.24,0,1
0,39.02,1,1,9.22,0,1
0,30.89,2,1,9,1,0
0,23.58,2,1,7.24,1,0
0,34.15,3,1,5.26,0,0
0,25.2,2,1,13.29,1,1
0,32.52,2,1,8.89,1,1
0,21.14,2,1,23.08,0,1
0,20.33,2,1,23.52,1,0
0,43.09,3,1,9.99,1,1
0,40.65,4,1,16.81,0,0
1,38.21,2,1,26.71,0,1
1,18.7,2,1,10.54,0,1
0,30.08,4,1,5.81,0,0
0,33.33,2,1,13.95,0,0
1,22.76,1,1,15.93,0,0
1,25.2,2,1,35.07,0,1
0,33.33,1,1,8.23,1,1
0,29.27,2,1,12.19,1,0
0,33.33,2,1,6.14,0,1
0,43.09,1,1,7.46,1,0
0,25.2,1,1,13.95,0,1
0,22.76,1,1,4.49,0,0
0,39.02,2,1,14.5,1,1
1,18.7,1,1,5.59,1,0
0,25.2,2,1,8.78,0,0
0,21.95,2,1,6.69,1,1
0,34.96,2,1,2.73,1,1
0,23.58,1,1,21.87,0,1
1,43.09,2,1,8.34,1,1
0,30.89,2,1,16.26,0,0
0,24.39,2,1,10.65,1,1
1,22.76,4,1,11.64,0,1
0,29.27,2,1,37.05,0,0
0,39.02,2,1,3.61,0,1
0,25.2,2,1,8.56,1,0
0,28.46,2,1,12.85,0,1
0,40.65,2,1,15.05,1,1
0,34.15,1,1,17.8,1,0
0,32.52,2,1,9.11,1,0
1,30.08,1,1,2.29,1,1
0,25.2,4,1,4.38,0,1
0,30.89,2,1,10.1,1,0
0,28.46,2,1,12.96,1,0
0,35.77,2,1,7.46,1,1
0,35.77,1,1,15.82,1,1
0,26.83,2,1,2.29,0,0
0,28.46,2,1,6.69,0,0
0,29.27,4,1,15.6,0,0
0,18.7,1,1,8.23,0,1
0,21.95,2,1,15.38,0,0
0,27.64,2,1,2.62,0,0
1,28.46,2,1,13.51,0,1
0,19.51,1,1,5.37,1,0
0,39.02,2,1,8.34,0,1
0,21.14,1,1,14.28,1,1
0,31.71,1,1,21.87,0,1
0,19.51,1,1,7.57,1,1
0,21.95,2,1,2.51,0,0
0,32.52,4,1,8.56,1,1
0,26.02,1,1,5.37,1,1
0,31.71,1,1,5.37,1,1
0,32.52,2,1,17.36,0,1
0,26.02,2,1,11.31,0,1
0,31.71,2,1,22.09,0,0
1,19.51,2,1,33.09,1,0
1,34.96,3,1,8.45,0,0
0,45.53,2,1,17.8,1,1
0,26.02,4,1,6.25,1,0
0,34.15,2,1,12.52,0,1
1,37.4,4,1,15.82,0,1
1,25.2,2,1,19.34,0,0
0,34.96,2,1,4.16,0,1
0,22.76,1,1,13.95,1,1
0,31.71,4,1,15.49,1,0
0,31.71,2,1,9.99,1,0
1,30.08,3,1,19.01,0,0
0,24.39,2,1,14.5,0,0
0,30.08,5,1,7.79,1,0
0,17.89,2,1,20.55,1,1
0,40.65,2,1,17.03,0,1
0,24.39,2,1,6.14,1,0
0,31.71,2,1,5.7,1,1
1,17.07,1,1,15.05,1,1
0,25.2,4,1,4.16,1,0
0,25.2,1,1,7.68,0,1
1,32.52,2,1,3.61,0,1
0,27.64,2,1,11.53,0,0
0,28.46,2,1,4.6,0,0
1,24.39,2,1,29.24,1,1
1,16.26,2,1,11.97,0,0
0,29.27,3,1,13.95,1,1
0,17.07,2,1,8.23,1,1
0,27.64,2,1,12.85,1,1
1,28.46,2,1,19.01,0,0
0,28.46,4,1,9.99,0,1
1,27.64,2,1,12.63,0,0
0,26.83,2,1,13.18,0,0
0,24.39,2,1,13.07,1,0
0,19.51,1,1,9.33,1,0
0,38.21,2,1,9.22,1,1
1,43.09,2,1,33.09,1,0
0,17.89,4,1,6.47,1,0
0,39.02,1,1,14.61,0,0
1,29.27,1,1,6.36,1,0
0,23.58,1,1,13.95,1,0
0,26.83,2,1,9.66,1,0
0,36.59,2,1,10.54,1,1
0,30.08,2,1,17.47,0,0
