grade,age,marry,years,income,education,consume,work,gender,family
3,57,1,1,44.775,3,63,0,0,3
3,49,1,3,42.495,3,18,0,0,2
3,25,0,9,41.37,4,6,0,0,5
3,61,0,45,41.37,3,24,0,0,1
3,48,1,22,39.09,4,63,0,0,6
3,39,1,10,39.09,2,42,0,0,8
3,27,0,9,39.09,2,27,0,0,1
3,27,0,1,39.09,2,3,0,0,2
3,28,1,7,39.09,2,42,0,0,5
3,46,0,18,39.09,2,18,0,0,1
3,36,1,9,39.09,2,27,0,0,4
3,26,0,5,37.95,2,6,0,0,1
3,25,1,4,36.825,4,6,0,0,6
3,30,0,7,36.825,3,15,0,0,3
3,41,1,20,34.545,5,6,0,0,2
3,61,0,15,30,2,42,1,0,1
3,36,1,19,28.86,2,48,1,0,4
3,38,0,5,28.86,2,12,1,0,1
3,29,0,8,27.72,5,18,1,0,2
3,32,0,7,27.72,4,24,1,0,1
3,24,0,6,27.72,3,15,1,0,5
3,39,0,7,27.72,2,9,0,0,1
3,27,0,10,26.595,1,9,1,0,4
3,38,0,8,26.595,1,24,1,0,1
3,30,1,8,24.315,1,15,0,0,2
3,21,0,3,24.315,1,18,0,0,2
3,48,1,12,23.175,5,21,0,0,3
3,40,0,7,23.175,3,15,1,0,1
3,19,1,2,23.175,1,15,1,0,5
3,24,1,1,22.05,5,9,1,0,4
3,27,0,5,20.91,3,21,1,0,1
3,32,1,1,18.63,2,6,1,0,5
3,30,1,12,17.505,1,12,1,0,5
3,27,1,6,17.505,1,3,1,0,2
3,23,0,8,16.365,5,6,0,0,6
3,27,1,13,16.365,1,18,1,0,5
3,28,1,13,16.365,1,18,1,0,5
3,58,1,29,16.365,1,27,0,0,2
3,26,0,11,15.225,3,24,0,0,2
3,15,0,1,15.225,2,3,1,0,1
3,22,1,6,14.085,4,3,1,0,3
3,21,0,3,14.085,1,3,1,0,1
3,49,1,1,14.085,1,3,1,0,2
3,56,0,21,1887.96,5,84,0,1,1
3,56,0,28,824.325,5,96,0,1,1
3,61,0,42,758.415,5,114,0,1,1
3,53,1,20,683.415,5,105,0,1,2
3,51,1,9,664.095,5,78,0,1,2
3,63,0,31,515.22,5,126,0,1,1
3,49,1,9,510.675,5,93,0,1,4
3,48,1,12,490.23,5,72,0,1,2
3,46,0,29,480,5,72,0,1,2
3,37,0,14,444.78,5,36,0,1,1
3,61,1,18,424.32,5,111,0,1,2
3,58,0,27,402.72,5,123,0,1,1
3,50,0,15,401.595,5,81,0,1,2
3,50,0,3,391.365,5,96,0,1,1
3,65,1,2,373.185,5,108,0,1,3
3,43,0,6,353.865,5,57,0,1,1
3,54,0,27,345.915,5,111,0,1,1
3,39,1,11,326.595,5,30,0,1,6
3,65,0,8,302.73,3,84,0,1,1
3,57,1,37,300.45,1,132,0,1,2
3,46,1,6,292.5,2,90,0,1,2
3,54,1,8,292.5,1,108,0,1,2
3,47,0,6,291.36,2,90,0,1,3
3,57,0,41,290.22,2,120,0,1,1
3,52,0,4,276.585,2,108,0,1,2
3,51,0,16,274.32,3,87,0,1,1
3,49,0,14,274.32,2,63,0,1,3
3,65,0,29,269.775,1,144,0,1,1
3,47,1,27,264.09,2,60,0,1,2
3,43,0,6,256.14,5,48,0,1,2
3,66,1,18,251.595,3,120,0,1,4
3,60,1,41,244.77,2,132,1,1,2
3,47,1,5,228.87,5,60,0,1,2
3,50,0,20,227.73,3,39,0,1,1
3,53,0,9,227.73,2,108,0,1,1
3,56,0,6,227.73,2,114,0,1,2
3,52,1,12,217.5,1,96,0,1,3
3,51,0,26,475.825,3,102,0,1,1
3,50,0,23,475.825,1,114,0,1,1
3,53,0,24,474.685,1,93,0,1,1
3,43,1,20,472.405,2,81,0,1,2
3,60,0,29,472.405,1,132,0,1,2
3,49,1,23,465.595,2,84,0,1,2
3,32,0,17,464.455,4,21,0,1,1
3,67,0,31,455.365,3,105,1,1,1
3,50,0,13,454.225,2,99,0,1,1
3,40,0,14,447.415,1,84,0,1,1
3,34,1,14,446.275,4,3,0,1,4
3,44,0,23,445.135,3,69,0,1,2
3,47,0,27,440.59,2,66,0,1,4
3,40,0,15,438.325,5,36,0,1,1
3,36,1,16,437.185,2,63,0,1,2
3,46,0,15,433.78,5,30,0,1,1
3,45,0,21,426.955,5,15,0,1,1
3,51,0,33,424.675,1,69,0,1,1
3,43,0,28,416.725,4,24,0,1,1
3,30,1,14,416.725,4,3,0,1,4
3,48,1,25,413.32,1,90,0,1,2
3,51,1,31,412.18,5,72,0,1,3
3,45,0,15,412.18,5,63,0,1,1
3,67,1,10,412.18,2,120,1,1,2
3,39,0,11,412.18,1,69,0,1,1
3,47,0,8,408.775,5,12,0,1,1
3,47,0,10,406.495,2,66,0,1,1
3,64,1,26,406.495,1,72,0,1,2
3,34,0,12,404.23,5,30,0,1,1
3,54,1,15,403.09,4,102,0,1,2
3,43,1,9,403.09,4,66,0,1,6
3,45,1,23,401.95,3,66,0,1,3
3,31,0,10,400.825,5,24,0,1,4
3,36,0,9,400.825,3,42,0,1,1
3,52,0,29,399.685,4,81,0,1,1
3,30,0,11,396.28,4,15,0,1,2
3,34,1,18,396.28,4,33,0,1,2
3,45,0,30,395.14,4,81,0,1,1
3,42,1,4,394,3,27,0,1,2
3,42,1,26,392.86,5,63,0,1,2
3,61,1,19,392.86,4,96,0,1,2
3,29,1,2,390.595,5,18,0,1,4
3,63,1,44,390.595,4,51,0,1,2
3,24,1,4,384.91,5,6,0,1,3
3,56,0,27,382.63,4,123,1,1,1
3,61,0,21,381.505,3,81,0,1,1
3,46,0,19,380.365,2,69,0,1,1
3,59,0,34,379.225,1,69,1,1,1
3,37,0,16,378.085,3,48,0,1,1
3,56,0,28,378.085,1,60,0,1,1
3,31,1,16,375.82,4,6,0,1,2
3,41,1,3,375.82,3,45,0,1,3
3,41,0,25,375.82,1,72,0,1,1
3,45,1,23,374.68,1,66,0,1,5
3,38,0,4,373.54,3,63,0,1,4
3,39,1,21,373.54,3,63,0,1,5
3,46,1,28,373.54,2,24,0,1,4
3,39,0,1,372.415,5,48,0,1,1
3,37,1,11,372.415,5,27,0,1,2
3,32,0,15,372.415,2,48,0,1,1
3,47,1,2,372.415,2,75,0,1,4
3,52,0,21,372.415,2,75,0,1,1
3,33,0,2,371.275,3,36,0,1,5
3,36,1,18,370.135,2,51,0,1,1
3,32,0,5,368.995,3,27,0,1,1
3,40,1,21,367.87,5,63,0,1,4
3,22,1,5,367.87,3,9,0,1,6
3,37,1,4,364.45,5,39,0,1,4
3,30,0,10,364.45,4,15,0,1,1
3,38,1,11,364.45,2,72,0,1,2
3,52,0,25,363.325,5,57,0,1,1
3,53,0,25,363.325,5,57,0,1,1
3,40,0,17,363.325,3,54,0,1,1
3,29,0,13,362.185,5,18,0,1,1
3,62,1,34,362.185,1,126,1,1,4
3,32,1,14,361.045,5,30,0,1,2
3,31,1,1,361.045,3,24,0,1,3
3,46,0,19,359.905,2,42,0,1,2
3,47,1,8,358.78,5,57,0,1,3
3,48,1,8,358.78,5,57,0,1,3
3,39,0,2,358.78,2,66,0,1,1
3,42,1,26,357.64,4,42,0,1,2
3,63,0,27,357.64,2,114,1,1,1
3,46,1,3,356.5,2,27,0,1,4
3,22,0,1,355.36,5,3,0,1,1
3,34,1,6,354.22,5,27,0,1,2
3,53,0,5,353.095,2,21,0,1,1
3,38,1,8,351.955,5,48,0,1,2
3,46,1,28,350.815,3,48,0,1,2
3,29,1,1,348.55,5,15,0,1,6
3,23,1,7,348.55,5,3,0,1,3
3,59,0,6,345.13,2,81,0,1,1
3,32,0,13,345.13,1,12,0,1,1
3,35,1,20,345.13,1,60,0,1,2
3,40,1,4,344.005,5,57,0,1,4
3,31,1,12,344.005,5,33,0,1,4
3,26,1,11,341.725,5,3,0,1,4
3,37,1,20,341.725,5,45,0,1,2
3,34,1,2,340.585,1,63,0,1,4
3,31,1,11,339.46,3,42,0,1,4
3,35,0,20,339.46,1,57,0,1,1
3,37,0,20,338.32,3,39,0,1,2
3,45,0,4,337.18,2,21,0,1,3
3,50,1,30,336.04,3,3,0,1,2
3,37,1,2,334.915,2,30,0,1,3
3,30,0,6,334.915,2,42,0,1,2
3,41,0,26,334.915,3,39,0,1,2
3,23,0,6,333.775,3,6,0,1,3
3,34,0,6,333.775,3,33,0,1,4
3,25,0,8,333.775,3,3,0,1,1
3,35,0,9,332.635,2,9,0,1,4
3,43,0,14,332.635,3,39,0,1,1
3,44,1,1,331.495,5,36,0,1,3
3,28,1,1,329.23,5,18,0,1,3
3,24,0,6,328.09,5,9,0,1,1
3,25,1,7,328.09,5,15,0,1,4
3,40,0,14,328.09,2,6,0,1,1
3,37,1,5,325.825,3,18,0,1,2
3,38,1,1,325.825,1,6,0,1,2
3,37,0,14,324.685,5,24,0,1,1
3,30,0,8,324.685,3,33,0,1,1
3,18,1,1,319,2,3,1,1,3
3,26,0,5,319,1,42,1,1,4
3,41,0,16,317.86,3,3,1,1,1
3,20,1,2,316.72,3,6,1,1,2
3,21,1,1,316.72,2,12,0,1,4
3,21,1,1,315.595,5,3,1,1,5
3,49,0,28,315.595,2,9,0,1,1
3,20,0,2,314.455,5,3,1,1,1
3,25,0,1,314.455,2,15,0,1,1
3,33,0,15,314.455,2,30,0,1,1
3,39,1,18,314.455,2,98,0,1,2
3,25,0,7,313.315,1,33,0,1,1
3,36,0,18,312.175,5,12,0,1,1
3,31,1,5,312.175,5,68,0,1,2
3,22,1,7,312.175,5,38,0,1,2
3,39,1,18,312.175,3,27,0,1,2
3,45,1,15,312.175,3,18,1,1,3
3,24,0,4,312.175,2,21,1,1,5
3,55,1,30,311.05,2,24,0,1,3
3,33,0,4,309.91,1,21,0,1,1
3,34,1,8,309.91,1,98,1,1,6
3,34,1,16,307.63,2,38,1,1,5
3,60,1,11,307.63,2,38,1,1,2
3,54,0,35,306.505,2,108,1,1,1
3,19,1,2,306.505,2,9,1,1,3
3,36,0,1,306.505,1,38,1,1,2
3,22,1,6,305.365,1,68,1,1,2
3,31,0,5,304.225,4,12,0,1,1
3,16,0,2,304.225,2,38,1,1,1
3,21,1,3,304.225,2,12,1,1,5
3,17,0,2,304.225,2,38,1,1,1
3,27,0,1,304.225,1,15,1,1,1
3,30,0,5,298.39,2,18,1,1,2
2,47,1,3,247.27,5,43,0,0,2
2,48,0,32,180.61,5,74,0,0,1
2,48,1,15,163.18,4,35,0,0,2
2,56,1,28,144.24,5,45,0,0,2
2,60,1,20,139.7,3,46,0,0,2
2,37,1,20,118.48,5,34,0,0,2
2,51,1,6,110.91,4,29,0,0,2
2,44,1,24,102.58,1,49,0,0,2
2,39,1,7,94.24,4,25,0,0,3
2,39,1,19,84.39,2,39,0,0,2
2,32,1,16,80.61,5,23,0,0,5
2,50,0,22,79.85,5,35,0,0,1
2,50,0,31,78.33,1,53,0,0,1
2,39,1,17,76.82,3,36,0,0,4
2,42,0,13,67.73,3,36,0,0,1
2,50,1,23,66.21,4,44,0,0,2
2,45,0,29,66.21,4,44,0,0,1
2,57,1,33,65.45,4,40,0,0,4
2,35,0,8,63.18,4,37,0,0,4
2,39,0,17,62.42,5,31,0,0,1
2,42,1,15,60.15,2,44,0,0,2
2,47,1,32,57.88,2,31,0,0,2
2,48,1,4,55.61,4,30,0,0,3
2,41,0,24,55.61,4,34,0,0,1
2,35,0,13,51.82,4,20,0,0,4
2,38,1,4,51.06,5,35,0,0,2
2,29,0,10,50.3,5,24,0,0,1
2,38,0,22,49.55,1,41,0,0,3
2,30,0,3,45.76,2,24,0,0,2
2,47,1,30,45.76,1,41,0,0,4
2,43,1,19,45,2,38,0,0,4
2,48,1,28,42.73,5,38,0,0,5
2,36,0,1,42.73,5,28,0,0,1
2,29,1,4,42.73,5,26,0,0,4
2,58,1,35,41.21,1,27,0,0,3
2,28,1,2,40.45,5,25,0,0,5
2,40,1,2,40.45,2,31,0,0,2
2,51,0,8,39.7,3,41,0,0,1
2,37,1,15,39.7,3,30,0,0,2
2,45,0,26,39.7,2,32,0,0,2
2,66,1,12,38.94,3,27,0,0,2
2,25,1,1,38.94,3,19,0,0,2
2,39,0,9,38.94,1,42,0,0,1
2,32,0,13,38.18,5,24,0,0,1
2,53,1,15,38.18,5,47,0,0,2
2,47,0,29,38.18,5,39,0,0,1
2,27,1,10,38.18,4,21,0,0,4
2,35,1,9,37.42,5,29,0,0,2
2,24,1,8,37.42,5,20,0,0,4
2,35,1,6,37.42,3,32,0,0,3
2,34,0,9,37.42,2,34,0,0,1
2,24,1,9,36.67,4,19,0,0,3
2,31,1,11,36.67,2,26,0,0,4
2,32,1,11,36.67,2,26,0,0,4
2,45,1,28,36.67,2,23,0,0,2
2,31,0,3,35.91,3,24,0,0,1
2,44,0,14,35.91,3,19,0,0,1
2,35,1,14,35.91,2,23,0,0,2
2,30,0,10,35.91,1,29,0,0,1
2,48,1,16,35.91,1,34,0,0,3
2,32,1,12,34.39,5,19,0,0,2
2,39,0,10,34.39,5,26,0,0,3
2,28,1,13,34.39,5,22,0,0,3
2,31,0,12,32.88,3,35,0,0,3
2,32,0,12,32.88,3,35,0,0,3
2,29,1,1,32.88,3,34,0,0,3
2,33,1,18,32.88,3,23,0,0,2
2,49,1,29,32.12,2,31,0,0,4
2,30,1,10,32.12,2,25,0,0,5
2,23,0,3,31.36,3,19,0,0,2
2,26,1,6,31.36,2,30,0,0,4
2,32,1,5,31.36,2,28,0,0,3
2,54,1,33,30.61,3,31,0,0,2
2,27,0,4,29.85,3,26,0,0,1
2,31,1,2,29.85,3,20,0,0,4
2,28,0,11,29.85,3,25,0,0,2
2,35,1,20,29.85,2,25,0,0,2
2,48,0,11,29.85,3,32,0,0,1
2,28,0,11,29.09,3,19,0,0,2
2,27,0,2,29.09,3,25,0,0,3
2,32,1,15,28.33,2,30,0,0,3
2,33,1,15,28.33,2,30,0,0,3
2,48,0,11,27.58,5,38,0,0,2
2,31,1,15,27.58,5,19,0,0,4
2,60,1,16,27.58,2,37,0,0,2
2,38,0,22,27.58,2,26,0,0,1
2,43,0,13,27.58,2,25,0,0,1
2,42,1,18,27.58,1,28,0,0,3
2,37,1,14,26.06,2,36,0,0,3
2,26,0,10,26.06,2,28,0,0,2
2,52,1,29,25.3,1,30,0,0,5
2,24,1,4,24.55,3,21,0,0,4
2,30,0,4,23.79,5,19,0,0,1
2,23,0,2,23.79,5,20,0,0,2
2,36,0,12,23.79,5,20,0,0,2
2,40,0,9,23.79,3,28,0,0,1
2,27,1,9,23.79,2,24,0,0,6
2,31,1,1,23.79,1,29,0,0,4
2,42,0,2,23.03,5,19,0,0,1
2,31,1,7,23.03,3,25,0,0,4
2,47,0,6,23.03,2,19,0,0,1
2,54,0,26,23.03,1,26,0,0,1
2,40,1,23,21.52,2,30,0,0,3
2,23,0,7,20.76,3,22,1,0,1
2,32,1,6,20.76,3,27,1,0,2
2,43,1,22,20,5,26,1,0,2
2,46,1,4,20,5,30,1,0,4
2,36,0,20,19.24,2,21,1,0,1
2,57,1,22,18.48,1,57,1,0,2
2,51,0,25,17.73,2,24,0,0,1
2,36,0,20,16.97,5,25,1,0,1
2,35,0,1,16.97,2,21,0,0,2
2,22,1,4,16.21,5,19,0,0,3
2,25,1,9,16.21,3,23,0,0,3
2,56,0,29,16.21,2,34,1,0,1
2,32,0,13,16.21,2,22,1,0,2
2,29,1,13,15.45,1,28,1,0,2
2,36,1,2,14.7,5,19,1,0,4
2,39,1,13,14.7,5,24,1,0,4
2,37,1,15,14.7,2,19,0,0,5
2,19,0,2,13.94,5,19,1,0,2
2,18,1,2,13.94,1,23,0,0,4
2,48,1,27,13.18,5,23,1,0,2
2,26,0,5,12.42,3,24,1,0,2
2,28,1,1,11.67,5,21,0,0,3
2,33,0,7,10.91,1,20,1,0,2
2,20,1,5,9.39,3,20,1,0,4
2,29,0,11,9.39,3,24,1,0,1
2,24,0,3,7.88,3,22,1,0,5
2,37,0,3,153.33,5,34,0,1,1
2,33,1,5,150.3,5,29,0,1,4
2,47,1,17,138.94,2,41,0,1,2
2,50,1,17,133.64,2,54,0,1,2
2,44,0,22,126.06,3,41,0,1,1
2,49,1,5,123.03,5,48,0,1,4
2,55,0,14,121.52,2,33,0,1,2
2,47,1,23,108.64,4,24,0,1,4
2,51,0,26,106.36,3,50,0,1,1
2,63,0,44,104.09,2,32,0,1,1
2,38,0,17,99.55,2,37,0,1,1
2,54,1,20,93.48,3,46,0,1,2
2,37,1,17,91.21,5,31,0,1,4
2,49,0,23,91.21,1,47,0,1,3
2,42,0,23,83.64,3,34,0,1,1
2,42,1,9,82.12,3,36,0,1,4
2,40,0,14,78.33,4,34,0,1,3
2,33,1,6,76.06,4,38,0,1,3
2,47,1,31,72.27,5,28,0,1,3
2,46,1,24,72.27,4,46,0,1,6
2,58,0,43,71.52,5,37,0,1,1
2,40,1,5,71.52,4,41,0,1,5
2,50,1,24,70.76,4,33,0,1,2
2,34,1,5,70,4,34,0,1,3
2,36,1,9,66.21,5,30,0,1,4
2,33,1,9,60.15,2,34,0,1,2
2,42,1,23,57.88,3,30,0,1,2
2,55,0,31,57.88,2,35,0,1,1
2,41,0,6,57.88,1,35,0,1,1
2,54,0,34,57.12,5,41,0,1,1
2,52,1,25,57.12,3,44,0,1,2
2,43,0,18,56.36,4,28,0,1,1
2,42,0,22,55.61,2,32,0,1,1
2,55,0,35,55.61,1,40,0,1,1
2,36,0,21,50.3,2,35,0,1,1
2,44,0,2,46.52,5,29,0,1,2
2,36,0,2,45,2,34,0,1,1
2,56,1,13,44.24,3,40,0,1,6
2,34,1,13,43.48,4,20,0,1,2
2,55,0,1,42.73,5,40,0,1,3
2,40,1,2,39.7,3,40,0,1,3
2,41,1,2,39.7,3,40,0,1,3
2,32,0,16,39.7,3,24,0,1,1
2,32,1,10,39.7,3,27,0,1,5
2,65,1,27,39.7,2,55,1,1,2
2,36,1,16,38.94,5,28,0,1,2
2,32,0,8,38.94,3,24,0,1,1
2,38,1,20,38.94,2,25,0,1,2
2,51,1,19,38.18,5,23,0,1,3
2,34,0,3,38.18,3,33,0,1,1
2,51,0,20,38.18,3,29,0,1,1
2,33,0,9,38.18,2,32,0,1,2
2,31,1,14,37.42,3,29,0,1,3
2,36,0,5,36.67,2,36,0,1,1
2,60,1,11,35.91,2,39,0,1,2
2,61,1,11,35.91,2,39,0,1,2
2,58,1,4,35.15,4,20,0,1,2
2,30,1,10,34.39,5,28,0,1,3
2,31,0,2,34.39,4,22,0,1,1
2,40,0,24,33.64,4,23,0,1,1
2,31,0,15,33.64,3,28,0,1,1
2,43,0,18,33.64,2,32,0,1,3
2,41,0,2,32.88,3,26,0,1,1
2,34,1,18,32.88,2,31,0,1,2
2,33,0,9,32.88,3,34,0,1,1
2,29,1,1,32.12,3,22,0,1,3
2,64,1,39,32.12,2,29,0,1,2
2,34,1,12,31.36,3,27,0,1,2
2,24,0,5,30.61,3,21,0,1,2
2,32,0,5,30.61,3,29,0,1,1
2,59,0,32,30.61,2,23,0,1,1
2,49,0,16,29.85,4,27,0,1,1
2,28,1,6,29.85,2,26,0,1,4
2,34,1,2,29.09,3,28,0,1,6
2,45,1,22,29.09,3,21,0,1,2
2,36,0,7,28.33,3,22,0,1,1
2,34,0,11,28.33,5,28,0,1,1
2,30,0,14,28.33,3,27,0,1,1
2,66,1,50,28.33,2,63,1,1,2
2,26,1,4,28.33,2,28,0,1,6
2,34,1,11,27.58,5,20,0,1,3
2,30,1,13,26.82,5,26,0,1,5
2,52,1,30,26.82,3,40,0,1,2
2,31,0,8,26.82,3,21,0,1,1
2,33,0,4,26.82,3,26,0,1,1
2,28,1,3,26.82,2,26,0,1,4
2,31,1,5,26.82,2,33,0,1,5
2,34,1,2,26.06,5,27,0,1,6
2,23,1,4,26.06,5,20,0,1,3
2,32,1,11,26.06,4,25,0,1,2
2,30,0,5,26.06,3,27,0,1,3
2,33,1,8,24.55,3,22,0,1,3
2,33,0,11,23.79,2,33,0,1,1
2,22,1,7,23.79,2,20,0,1,3
2,42,0,5,23.79,2,26,0,1,1
2,36,1,21,23.79,2,27,0,1,4
2,29,1,14,23.03,3,27,0,1,3
2,25,0,4,23.03,3,21,0,1,1
2,20,1,5,23.03,3,20,0,1,4
2,19,1,3,22.27,5,19,0,1,5
2,34,1,7,22.27,1,32,1,1,2
2,52,1,14,22.27,1,24,1,1,2
2,73,0,21,21.52,3,37,1,1,1
2,30,0,9,21.52,3,21,1,1,1
2,28,0,13,20.76,5,23,1,1,2
2,29,0,13,20.76,5,23,1,1,2
2,27,0,3,20.76,5,21,1,1,1
2,25,0,6,20.76,4,20,1,1,1
2,37,0,16,20.76,2,30,1,1,1
2,72,0,38,20,1,63,1,1,1
2,54,1,39,20,1,28,1,1,2
2,28,0,1,19.24,5,26,1,1,2
2,26,1,9,18.48,5,22,1,1,5
2,24,1,4,16.97,3,25,0,1,3
2,22,1,3,16.21,3,20,1,1,5
2,32,1,3,16.21,2,27,1,1,2
2,31,1,3,16.21,1,22,1,1,3
2,22,0,2,15.45,4,19,0,1,1
2,52,1,10,14.7,4,19,1,1,2
2,19,0,1,14.7,3,19,1,1,3
2,26,0,6,14.7,3,23,1,1,2
2,34,1,19,13.94,3,25,1,1,2
2,21,1,1,12.42,3,20,1,1,5
2,27,1,7,11.67,2,22,1,1,2
2,55,0,8,11.67,1,23,1,1,1
2,31,0,9,10.91,3,23,1,1,1
2,24,1,1,10.91,3,22,1,1,2
2,24,1,4,10.91,2,20,1,1,3
2,22,1,2,10.15,3,20,0,1,2
2,35,1,16,10.15,3,25,0,1,4
2,30,0,10,9.39,5,19,1,1,2
2,18,0,3,9.39,3,19,1,1,1
2,19,0,3,9.39,2,23,1,1,5
2,35,1,20,8.64,1,19,1,1,4
2,16,0,1,8.64,2,19,1,1,2
2,66,0,1,7.88,3,55,1,1,1
2,49,0,1,7.88,3,22,1,1,1
2,27,0,8,7.12,3,20,1,1,1
2,17,0,2,6.36,2,19,0,1,1
