V1,V2,V3,V4,V5,V6
0,46.44,1,2,2,1
1,46.42,3,2,2,1
1,46.42,3,2,1,2
1,46.41,2,1,2,1
1,46.41,2,2,2,1
1,46.38,3,2,1,2
1,46.36,2,1,2,1
1,46.34,3,2,1,1
1,46.33,3,1,1,1
1,46.29,2,2,1,1
1,46.21,3,2,1,1
1,46.19,1,1,1,1
1,46.18,2,2,1,2
1,46.14,3,1,1,1
1,46.11,3,2,2,1
1,46.05,3,2,1,2
1,46.03,2,2,1,2
1,46.02,1,2,2,1
1,46,3,2,1,2
1,45.97,3,2,2,1
0,45.97,1,2,1,2
1,45.96,2,2,1,1
1,45.91,2,1,1,1
1,45.89,2,2,1,1
1,45.88,3,2,1,1
1,45.84,3,2,2,1
1,45.83,3,2,2,2
1,45.79,2,1,1,1
1,45.77,2,2,1,1
0,45.74,1,1,2,1
1,45.72,2,2,1,1
1,45.58,3,2,1,1
1,45.57,2,2,2,2
1,45.55,2,2,1,1
1,45.52,3,2,1,1
1,45.51,3,2,2,2
1,45.49,2,2,1,1
1,45.48,3,2,1,1
1,45.44,2,1,1,1
1,45.43,3,2,2,1
1,45.41,3,1,2,1
1,45.3,2,2,1,1
1,45.27,2,2,2,1
1,45.27,2,2,1,1
1,45.25,3,1,1,1
1,45.21,1,2,1,1
1,45.17,2,2,1,1
1,45.17,3,2,1,2
1,45.17,2,2,2,2
1,45.16,3,2,2,2
1,45.06,3,2,1,1
0,45.04,2,2,1,2
1,45.03,3,2,2,1
1,45.02,2,1,1,1
1,44.99,3,2,2,1
1,44.96,2,2,2,2
1,44.95,2,2,1,2
1,44.93,2,1,1,1
1,44.9,2,2,1,1
1,44.88,2,2,1,1
1,44.88,2,1,1,1
1,44.86,3,2,2,1
1,44.85,2,2,1,2
1,44.85,3,2,2,1
1,44.84,3,2,1,1
0,44.82,1,2,1,2
1,44.77,2,1,1,1
1,44.77,1,1,1,1
1,44.77,3,2,1,2
1,44.77,3,2,1,1
1,44.74,3,2,2,1
0,44.69,2,2,2,2
1,44.68,3,2,2,1
1,44.67,3,2,2,1
1,44.65,3,2,1,1
1,44.62,3,2,1,1
1,44.62,3,2,1,2
0,44.61,1,2,2,1
0,44.56,2,2,2,2
1,44.54,2,2,1,1
1,44.54,3,2,2,1
1,44.54,2,2,2,1
1,44.53,3,1,1,1
1,44.51,2,2,2,2
1,44.5,2,2,2,2
1,44.49,3,1,1,1
1,44.47,2,2,2,1
0,44.47,2,2,2,2
1,44.46,2,2,1,1
0,44.46,1,2,2,2
1,44.45,2,2,1,1
1,44.45,3,2,2,1
1,44.44,2,2,2,1
1,44.34,3,2,1,1
0,44.3,1,2,2,2
1,44.26,3,2,2,2
1,44.25,2,1,2,1
1,44.2,3,1,1,1
1,44.2,3,2,1,2
0,44.2,1,2,2,2
1,44.15,3,2,1,1
1,44.15,3,2,2,2
0,44.13,1,2,1,1
1,44.11,3,2,1,2
0,44.11,1,2,2,2
1,44.06,1,2,2,1
1,44.03,2,2,2,1
1,44.02,3,2,2,2
0,44,2,1,2,1
0,43.98,2,2,2,2
1,43.97,2,2,2,2
1,43.95,3,2,2,1
1,43.92,3,2,1,1
1,43.92,2,2,2,1
0,43.92,1,2,2,2
1,43.87,1,2,2,1
0,43.87,2,2,1,2
1,43.86,3,1,1,1
1,43.82,2,2,2,1
0,43.81,1,2,2,2
1,43.78,3,2,1,2
1,43.78,3,2,1,2
1,43.74,3,2,1,1
1,43.74,2,2,1,1
0,43.66,1,2,2,2
1,43.64,2,2,2,1
1,43.63,3,2,1,2
1,43.6,2,2,1,1
0,43.57,1,2,2,2
0,43.57,1,2,1,1
1,43.55,2,2,2,1
1,43.53,2,2,1,1
1,43.52,2,2,1,2
1,43.52,2,2,1,2
1,43.45,1,2,1,1
1,43.44,2,2,2,2
1,43.42,3,2,2,2
0,43.42,1,2,2,2
1,43.4,3,2,2,1
0,43.37,1,2,2,1
1,43.36,3,2,1,2
1,43.35,3,2,2,1
1,43.35,3,2,2,2
1,43.33,3,2,2,2
1,43.3,3,2,2,2
0,43.29,3,2,2,2
0,43.28,1,2,2,2
1,43.27,3,2,2,1
1,43.27,3,2,1,1
0,43.27,2,2,2,2
1,43.26,2,2,2,1
1,43.26,2,1,2,1
1,43.25,3,1,1,1
1,43.22,3,2,2,1
1,43.13,3,2,1,1
1,43.12,3,2,2,2
1,43.1,1,1,1,1
1,43.09,3,2,2,1
1,43.07,2,2,1,2
1,43.06,3,1,1,1
1,43.04,3,2,2,1
1,43.03,3,1,1,1
0,43.03,1,2,2,2
1,43.02,2,1,1,1
1,43.02,3,2,2,2
1,43.02,3,2,1,1
1,43,3,2,2,1
1,43,3,2,2,1
1,42.99,3,2,2,1
1,42.99,3,2,1,1
1,42.97,3,2,1,1
1,42.96,3,2,1,1
1,42.96,3,2,1,1
0,42.93,1,2,2,2
1,42.92,3,1,1,1
1,42.87,2,1,1,1
1,42.87,2,2,1,1
1,42.87,3,1,2,1
1,42.87,3,2,2,1
1,42.85,2,2,1,1
1,42.85,2,2,1,1
0,42.85,1,2,2,2
1,42.84,3,2,2,1
1,42.83,3,2,1,2
1,42.83,3,2,1,2
0,42.81,2,2,2,2
1,42.8,3,2,1,2
1,42.77,2,1,1,1
0,42.76,1,2,1,2
1,42.74,3,2,1,1
1,42.73,2,2,2,1
1,42.73,3,2,1,2
0,42.72,1,2,2,2
1,42.71,3,2,2,2
1,42.67,2,1,1,1
1,42.65,3,2,2,2
1,42.6,3,2,2,1
1,42.58,1,2,1,1
1,42.54,3,2,2,1
1,42.5,2,2,1,1
1,42.5,3,2,1,1
1,42.49,2,2,1,2
0,42.47,2,2,1,2
1,42.43,3,1,2,1
0,42.43,1,2,2,2
1,42.39,1,2,2,2
1,42.37,2,2,2,2
1,42.35,3,1,1,1
1,42.35,2,2,1,2
1,42.34,2,1,1,1
1,42.27,2,2,1,1
1,42.25,3,2,1,2
1,42.23,3,2,1,1
1,42.23,2,2,2,1
1,42.21,3,2,1,1
1,42.19,2,2,1,1
1,42.18,3,2,1,1
1,42.14,3,2,1,1
1,42.13,3,2,1,1
1,42.12,2,1,1,1
1,42.1,3,2,2,2
1,42.09,1,1,1,1
1,42.09,2,1,2,1
1,42.08,2,1,1,1
0,42.08,2,2,2,2
1,42.06,2,2,1,1
1,42.06,3,2,2,1
1,42.04,2,2,1,1
1,42.02,3,1,1,1
1,42,3,2,2,1
0,42,1,2,2,2
1,41.99,3,2,2,2
1,41.98,3,2,1,2
1,41.94,2,2,1,1
1,41.92,3,2,1,1
1,41.91,2,2,1,1
1,41.88,2,1,1,1
1,41.87,2,1,2,1
1,41.83,3,1,1,1
0,41.79,1,2,2,2
1,41.78,3,1,1,1
1,41.74,3,1,1,1
1,41.74,3,2,2,2
1,41.72,3,2,1,2
0,41.71,1,2,2,2
1,41.7,1,2,2,1
1,41.7,2,2,1,2
0,41.7,1,1,2,1
1,41.69,3,2,2,1
1,41.69,3,2,2,2
0,41.67,2,2,2,2
1,41.66,2,2,1,1
1,41.66,3,2,1,2
1,41.65,3,2,1,1
1,41.64,2,1,1,1
0,41.63,1,2,1,2
0,41.62,2,2,2,2
1,41.6,2,2,2,2
1,41.59,3,2,1,2
0,41.59,2,2,2,2
1,41.52,3,2,1,2
1,41.51,3,2,2,2
1,41.5,3,1,2,1
1,41.49,3,1,1,1
1,41.49,2,2,1,2
1,41.44,3,2,2,2
1,41.44,3,2,1,1
1,41.43,2,2,1,1
1,41.43,2,2,2,1
0,41.43,1,2,2,2
1,41.42,2,1,1,1
1,41.42,1,2,2,1
0,41.41,2,2,1,2
1,41.39,3,2,1,2
1,41.36,2,2,2,1
1,41.33,3,2,2,2
1,41.32,3,2,1,1
0,41.32,1,2,1,2
0,41.32,2,2,2,2
1,41.31,3,1,2,1
0,41.31,1,2,2,2
0,41.31,1,2,2,2
0,41.31,2,2,2,2
1,41.3,3,2,1,1
0,41.3,1,2,1,2
1,41.27,3,2,1,1
1,41.26,2,2,2,1
1,41.25,3,2,1,2
1,41.22,3,2,1,1
1,41.22,3,2,1,2
1,41.21,3,2,2,2
1,41.19,1,2,2,1
1,41.18,2,2,1,1
1,41.18,3,2,1,2
1,41.1,3,2,2,2
0,41.1,3,2,1,1
1,41.08,2,2,2,1
1,41.06,3,2,1,1
1,41.06,3,2,1,1
0,41.06,1,2,1,2
0,41.05,2,2,2,2
1,41.04,3,2,2,2
1,41.03,3,2,2,1
1,41.03,1,2,1,1
0,40.99,1,2,1,2
1,40.98,3,2,2,1
1,40.97,3,2,1,2
1,40.96,2,1,1,1
1,40.94,3,2,1,2
0,40.94,2,2,1,1
1,40.93,2,2,2,1
1,40.91,3,2,2,2
1,40.9,2,2,2,1
1,40.89,2,2,1,2
0,40.87,1,2,1,2
1,40.86,3,2,1,1
0,40.86,1,2,2,2
1,40.83,2,1,1,1
1,40.81,3,2,1,1
1,40.81,2,2,1,1
0,40.8,2,2,1,2
1,40.78,3,2,1,1
1,40.78,3,2,2,1
0,40.78,2,2,1,2
0,40.76,1,2,2,2
1,40.73,2,2,1,1
1,40.73,3,2,2,2
1,40.72,1,2,1,1
1,40.71,3,2,1,2
1,40.69,2,2,1,1
0,40.67,2,1,2,1
1,40.66,3,1,1,1
1,40.66,3,1,1,1
1,40.65,1,2,2,2
0,40.65,2,2,1,1
0,40.64,3,2,2,2
1,40.62,3,2,2,2
0,40.62,1,1,1,1
1,40.61,3,2,1,1
1,40.59,2,2,1,1
1,40.55,2,1,1,1
1,40.53,2,2,1,1
0,40.53,3,2,1,2
0,40.51,2,2,1,2
1,40.5,3,2,1,1
0,40.5,2,2,2,2
1,40.49,3,2,1,2
1,40.46,3,2,2,1
1,40.45,3,2,1,2
1,40.45,2,2,2,2
1,40.44,1,2,1,1
1,40.44,3,2,2,2
1,40.44,3,2,1,2
1,40.43,1,2,2,2
1,40.41,2,1,2,1
0,40.4,1,2,1,2
0,40.39,2,2,2,2
1,40.37,3,2,2,2
0,40.33,1,2,2,2
1,40.3,2,2,2,2
0,40.29,2,2,1,2
1,40.28,2,2,1,1
1,40.26,2,2,1,1
1,40.26,1,2,1,2
1,40.23,1,2,1,1
0,40.23,1,2,1,2
1,40.21,3,2,2,2
0,40.21,2,2,2,2
1,40.19,3,2,1,2
0,40.19,1,2,2,1
1,40.13,3,2,2,2
1,40.13,3,2,1,1
1,40.12,3,2,1,2
0,40.12,1,2,2,2
0,40.12,1,2,2,2
1,40.11,3,1,1,1
0,40.1,1,2,2,2
1,40.09,3,2,2,2
1,40.07,2,1,2,1
0,40.04,2,2,1,2
0,40,1,2,1,2
1,39.99,2,1,2,1
1,39.99,3,2,1,1
1,39.98,3,2,1,1
0,39.98,3,2,2,2
1,39.96,2,2,1,1
1,39.93,3,2,2,2
1,39.91,2,2,1,2
1,39.89,3,2,1,1
1,39.86,2,2,1,1
1,39.84,3,2,1,1
1,39.83,1,2,1,1
1,39.82,3,2,1,1
1,39.82,2,2,1,1
1,39.81,2,2,2,2
0,39.81,1,2,1,2
0,39.8,1,2,2,2
1,39.79,3,2,1,1
1,39.78,3,2,2,1
1,39.72,3,2,1,1
1,39.72,2,2,2,2
1,39.7,2,2,1,1
1,39.7,3,2,1,2
1,39.69,2,2,2,1
1,39.69,3,2,2,2
1,39.68,3,2,2,1
1,39.65,3,2,1,1
1,39.61,2,2,2,1
0,39.6,1,2,1,2
1,39.59,3,2,1,2
1,39.54,2,1,1,1
0,39.53,2,2,1,2
1,39.52,2,1,1,1
1,39.52,3,2,1,2
1,39.51,3,2,2,1
1,39.5,3,2,2,1
1,39.49,3,2,2,1
0,39.49,1,2,2,2
1,39.48,3,1,1,1
1,39.48,2,1,1,1
1,39.48,3,2,2,1
0,39.46,1,2,2,2
1,39.45,3,2,1,1
1,39.43,3,2,2,2
1,39.41,3,2,1,1
1,39.41,3,1,1,1
0,39.4,1,2,2,2
1,39.39,3,2,1,1
1,39.39,3,2,1,1
1,39.35,3,2,1,1
1,39.34,3,2,1,2
1,39.34,3,2,1,1
1,39.33,3,2,2,2
1,39.32,3,2,1,2
0,39.32,1,2,2,2
1,39.31,1,2,2,1
1,39.3,3,1,2,1
0,39.29,1,2,2,2
1,39.27,2,2,1,1
0,39.27,2,2,2,2
1,39.26,2,1,2,1
0,39.26,1,2,1,2
1,39.24,2,1,2,1
1,39.22,1,2,2,1
1,39.22,3,2,1,2
1,39.2,3,2,1,2
1,39.19,3,2,1,1
1,39.18,3,2,2,2
1,39.17,3,2,1,1
0,39.17,3,2,2,2
1,39.15,2,2,1,2
0,39.15,1,2,2,2
0,39.15,1,2,2,2
1,39.11,2,2,1,2
1,39.11,3,2,2,2
1,39.11,3,2,1,2
1,39.1,3,2,1,1
1,39.09,2,2,1,1
1,39.07,2,1,1,1
1,39.07,2,2,2,2
1,39.06,3,2,1,2
1,39.03,3,2,1,2
1,39.02,2,1,1,1
0,39.02,2,2,2,2
1,39.01,1,1,1,1
0,39.01,2,2,2,2
1,39,2,2,2,1
1,38.99,2,2,1,1
1,38.98,2,2,2,1
1,38.98,3,2,2,1
0,38.97,1,2,2,2
0,38.97,2,2,1,2
1,38.95,2,2,2,2
1,38.95,2,2,2,1
1,38.94,2,1,1,1
1,38.9,2,2,1,1
0,38.89,1,2,2,2
0,38.89,2,2,1,2
1,38.88,3,2,1,1
1,38.87,3,2,1,1
1,38.87,2,2,2,2
1,38.84,3,2,1,1
0,38.84,1,2,2,2
1,38.81,2,1,2,1
1,38.81,3,2,2,1
1,38.79,3,2,1,2
0,38.76,2,1,1,1
1,38.75,3,2,1,2
1,38.74,3,2,1,1
1,38.74,3,2,2,2
1,38.73,3,1,2,1
1,38.73,3,2,1,1
0,38.72,1,2,2,1
1,38.7,3,2,1,2
1,38.69,3,2,2,2
1,38.68,3,1,2,1
0,38.68,1,2,1,2
1,38.66,2,2,2,1
1,38.62,2,2,1,2
0,38.61,2,2,1,2
0,38.61,1,2,2,2
1,38.6,3,1,2,1
1,38.6,3,2,2,2
1,38.59,3,2,2,1
1,38.58,3,2,1,1
1,38.58,3,2,1,2
1,38.58,3,2,1,1
1,38.58,3,2,2,2
1,38.53,1,2,2,2
1,38.5,3,2,1,1
1,38.47,3,2,1,2
1,38.47,3,2,2,2
0,38.45,1,2,2,1
1,38.43,3,1,2,1
1,38.43,2,2,1,1
1,38.43,2,2,2,1
1,38.42,3,2,1,1
1,38.42,3,2,2,1
1,38.41,2,1,1,1
0,38.4,1,2,2,2
0,38.39,2,1,2,1
1,38.38,2,1,1,1
1,38.38,3,2,1,1
1,38.37,2,1,2,1
1,38.36,2,2,1,1
0,38.36,1,2,2,2
1,38.35,3,2,2,2
1,38.32,3,2,2,1
1,38.32,3,2,2,2
1,38.31,2,2,2,1
1,38.29,3,2,2,2
0,38.27,3,2,2,2
1,38.26,2,1,1,1
1,38.26,3,1,1,1
1,38.24,3,2,1,1
1,38.24,1,2,1,1
0,38.19,3,2,2,2
1,38.17,2,2,1,2
1,38.16,3,2,2,1
0,38.15,2,2,2,2
1,38.14,3,2,2,1
0,38.14,1,2,1,2
1,38.08,3,1,2,1
0,38.07,1,2,2,2
0,38.06,1,2,2,2
1,38.02,3,2,1,1
1,38.01,3,2,1,2
1,37.98,3,2,1,1
1,37.98,3,2,2,1
1,37.97,2,1,2,1
1,37.96,3,2,1,2
1,37.92,2,2,1,1
1,37.92,3,2,1,1
1,37.91,2,2,1,1
1,37.9,3,2,2,1
1,37.89,2,2,1,1
1,37.87,3,2,2,1
1,37.86,1,2,2,2
1,37.86,3,2,1,1
0,37.86,1,2,2,2
0,37.86,2,2,2,2
0,37.85,2,2,1,2
1,37.83,2,2,2,2
1,37.79,3,2,1,2
0,37.79,1,2,2,2
0,37.79,3,2,2,2
1,37.77,3,2,1,1
0,37.75,2,2,2,2
1,37.74,3,1,1,1
1,37.73,3,2,1,2
1,37.7,2,2,1,1
1,37.69,3,1,1,1
0,37.68,2,2,2,2
1,37.67,3,1,2,1
0,37.67,3,2,2,1
0,37.66,3,2,2,2
0,37.61,3,2,2,2
0,37.61,1,2,1,2
0,37.6,1,2,2,2
1,37.58,3,2,2,2
0,37.58,2,2,2,2
1,37.57,3,2,2,2
0,37.57,2,2,2,2
0,37.56,1,2,1,1
0,37.56,1,2,2,1
0,37.55,1,2,2,2
1,37.54,3,2,2,1
0,37.54,2,2,1,2
1,37.52,3,2,2,1
1,37.52,3,2,1,2
1,37.49,1,2,2,2
0,37.45,2,2,2,1
0,37.42,2,2,1,2
1,37.41,3,2,1,1
1,37.39,1,2,1,2
0,37.36,2,1,1,1
1,37.34,3,2,1,1
1,37.33,3,2,2,2
0,37.33,1,2,1,2
0,37.32,1,2,2,2
0,37.31,3,2,2,2
0,37.31,1,1,2,1
1,37.23,2,2,2,1
0,37.23,1,2,2,2
1,37.19,2,2,1,1
0,37.19,2,2,2,2
1,37.13,3,2,2,2
1,37.13,3,2,1,2
0,37.12,2,1,1,1
1,37.09,3,2,1,1
1,37.08,2,1,1,1
0,37.08,1,2,1,2
1,37.07,1,2,1,1
0,37.07,2,1,2,1
1,37.06,2,2,1,1
1,37.05,3,1,1,1
1,37.02,3,1,1,1
1,37.02,3,1,2,1
0,37.02,3,2,2,2
1,37,2,2,2,1
0,36.98,1,2,2,2
0,36.94,1,2,2,2
0,36.92,1,2,2,2
1,36.9,3,2,2,2
0,36.89,2,2,2,2
0,36.83,1,2,2,2
1,36.81,3,2,1,1
1,36.8,2,2,2,1
0,36.8,1,2,2,2
1,36.79,3,2,1,2
0,36.77,1,2,2,2
0,36.77,2,2,1,2
1,36.75,2,2,1,1
1,36.75,3,2,1,2
0,36.73,1,2,2,2
0,36.7,1,2,2,2
1,36.69,2,2,2,1
1,36.69,3,2,1,1
1,36.68,2,1,1,1
1,36.67,3,2,2,1
0,36.66,2,2,2,2
1,36.62,3,1,1,1
1,36.62,2,2,1,1
0,36.62,1,2,1,2
0,36.62,1,2,2,2
0,36.61,1,2,2,2
1,36.59,3,2,1,2
0,36.56,2,1,2,1
1,36.55,3,2,1,2
1,36.54,2,2,1,1
1,36.54,2,2,2,1
1,36.5,2,2,2,2
0,36.48,1,2,2,2
0,36.45,1,2,1,2
0,36.45,1,2,1,1
1,36.42,3,2,1,1
1,36.42,1,2,1,2
0,36.42,1,2,2,2
0,36.41,2,2,1,2
1,36.4,3,2,1,1
0,36.4,2,2,2,2
0,36.36,2,2,1,2
0,36.36,1,2,1,2
0,36.36,2,2,2,2
0,36.36,1,1,1,1
0,36.35,1,2,1,2
1,36.31,2,2,1,1
1,36.31,2,2,2,1
1,36.3,2,2,1,1
1,36.29,2,1,1,1
0,36.29,2,2,2,2
0,36.28,2,2,2,2
1,36.26,3,2,2,1
1,36.23,3,2,1,1
1,36.23,1,2,2,2
1,36.23,3,2,1,2
0,36.23,2,2,2,2
0,36.23,2,2,2,2
0,36.22,2,2,2,2
0,36.22,2,1,1,1
1,36.21,3,2,1,2
1,36.2,2,2,1,1
1,36.17,3,2,1,1
1,36.11,3,2,1,1
1,36.11,1,2,2,1
1,36.1,3,2,2,2
1,36.09,3,2,1,1
0,36.05,1,2,2,2
1,36.04,3,2,2,1
1,36.03,2,1,2,1
1,36.02,2,2,1,1
1,36.01,3,2,1,2
1,36,2,2,1,1
1,35.98,3,1,1,1
0,35.97,1,2,2,2
1,35.96,2,2,2,2
0,35.94,2,2,1,2
1,35.93,3,2,1,1
1,35.92,3,2,2,1
1,35.91,2,2,2,1
0,35.9,1,2,2,2
0,35.9,2,2,1,2
1,35.89,2,2,1,1
1,35.89,2,2,2,1
1,35.86,3,2,2,1
1,35.86,2,1,2,1
1,35.86,2,2,2,2
1,35.85,3,2,1,1
0,35.85,2,2,1,2
0,35.83,1,2,2,2
0,35.82,1,2,2,2
0,35.82,1,2,2,1
1,35.78,2,1,1,1
1,35.78,2,2,2,2
1,35.78,3,2,2,2
1,35.77,3,2,1,2
1,35.77,3,2,2,2
1,35.76,2,1,1,1
1,35.76,2,2,2,1
0,35.76,1,2,2,2
1,35.73,2,2,2,2
1,35.72,2,2,2,2
1,35.71,2,2,1,1
1,35.71,3,2,2,2
1,35.7,2,2,2,1
1,35.69,3,2,1,1
0,35.69,3,2,1,2
0,35.67,1,2,2,2
1,35.65,3,2,2,2
0,35.6,1,2,2,2
1,35.59,2,1,1,1
