credit,age,education,workyears,resideyears,income,debtratio,creditdebt,otherdebt
1,36,2,5.6,5.35,61.81818182,26.355,9.45874424,9.62089024
1,31,3,0,8.56,20,13.545,1.25683668,1.87126368
1,26,2,3.9,3.21,19.09090909,30.345,3.24582258,3.52196208
1,45,5,3.4,14.98,405.4545455,6.825,19.3980787,13.4768712
1,48,4,3.9,13.91,39.09090909,13.86,3.68122656,2.73901056
1,33,2,2.6,2.14,20,17.22,2.10425776,1.94370176
1,39,5,1.3,14.98,30,16.905,3.25936611,2.72408136
1,23,3,0,2.14,19.09090909,13.125,0.5907825,2.22222
1,49,4,2.8,27.82,200.9090909,18.48,19.10804896,24.02839296
1,23,3,2.6,0,18.18181818,4.725,0.351747,0.633672
1,31,2,9.1,5.35,18.18181818,20.79,1.2170664,3.0723264
1,26,5,0,3.21,26.36363636,6.93,0.71330952,1.37746752
1,27,2,3.9,2.14,16.36363636,17.115,0.4260168,2.6851968
1,26,3,2.6,3.21,23.63636364,10.185,1.07417024,1.69962624
1,47,4,6.5,18.19,85.45454545,11.025,4.3710282,6.5078832
1,29,5,2.6,8.56,20.90909091,5.985,0.38705964,1.03076064
1,35,3,13,13.91,51.81818182,21.945,7.39475649,6.03369624
1,37,3,0,17.12,20,15.75,2.383821,1.383096
1,43,4,6.9,13.91,82.72727273,26.46,2.80251972,21.44050272
1,30,2,0,2.14,25.45454545,34.965,2.7640998,7.3212048
1,40,4,2.6,14.98,57.27272727,16.8,6.9155856,4.5392256
1,27,2,3.9,2.14,14.54545455,18.69,1.2233584,1.9104384
1,49,3,5.2,9.63,30,7.455,1.4458653,1.1939928
1,27,2,0,2.14,16.36363636,19.845,0.62157942,3.00382992
1,43,3,7.8,0,32.72727273,20.475,5.4617706,2.6063856
1,37,3,3.9,11.77,36.36363636,18.06,2.1810976,5.2805376
1,25,3,1.3,3.21,16.36363636,19.635,1.07116218,2.57997168
1,44,3,3.2,1.07,43.63636364,9.03,1.45351008,3.04382208
1,24,2,5.2,3.21,17.27272727,24.255,2.2835967,2.6017992
1,39,2,7.8,10.7,28.18181818,12.285,2.05828623,2.00297448
1,24,4,1.3,3.21,22.72727273,14.49,2.3919885,1.532076
1,51,3,2.6,13.91,18.18181818,17.745,0.4580576,3.1214976
1,34,3,6.5,5.35,39.09090909,15.75,2.18526,4.82976
1,26,2,3.9,0,12.72727273,16.905,1.01457048,1.47213248
1,34,2,5.2,3.21,14.54545455,29.925,1.0814496,3.8128896
1,39,3,5.2,11.77,18.18181818,22.785,0.210056,4.333056
1,43,4,1.6,11.77,78.18181818,27.825,6.0391221,18.5109496
1,34,2,0,4.28,18.18181818,23.15,0.318714,0.350064
1,24,3,0,1.07,31.81818182,9.45,0.945252,2.463552
1,30,2,2.6,2.14,15.45454545,2.625,0.24118325,0.234702
1,31,4,9.1,2.14,76.36363636,14.28,8.3629392,4.6929792
1,50,5,2.2,10.7,53.63636364,17.325,5.97213045,4.9913292
1,29,4,6.5,4.28,38.18181818,20.895,3.27667032,5.87600832
1,29,5,0,0,22.72727273,13.335,1.71726225,1.826006
1,26,2,3.9,5.35,13.63636364,11.865,0.08819085,1.6869996
1,30,2,3.7,0,20,29.085,6.39303258,0.84292208
1,26,2,3.4,0,15.45454545,5.88,0.68884816,0.39801216
1,39,4,1.8,14.98,45.45454545,38.43,8.8572,11.4192
1,27,5,0,1.07,16.36363636,35.07,3.38992632,3.33882432
1,31,3,3.9,6.42,23.63636364,6.405,0.65056134,1.09027984
1,53,2,13,1.07,40,13.86,6.00163872,0.88188672
1,24,4,0,0,20.90909091,8.82,0.45117996,1.62148896
1,30,2,2.6,0,16.36363636,15.54,2.34666432,0.75359232
1,27,5,1.3,1.07,30.90909091,8.925,0.1608574,2.8673424
1,34,3,6.5,0,25.45454545,15.54,3.13891424,1.61185024
1,30,3,3.9,4.28,37.27272727,26.355,7.13505903,4.57002728
1,28,2,3.9,5.35,26.36363636,26.985,3.05714607,5.12349032
1,31,2,1.3,3.21,16.36363636,26.88,2.3975424,2.7316224
1,43,3,5.2,14.98,23.63636364,20.16,1.7818944,3.6601344
1,42,4,3.9,16.05,50,17.325,2.11928475,7.616466
1,30,3,0,3.21,27.27272727,15.04,0.1463616,1.3718016
1,31,3,7.8,7.49,16.36363636,15.355,0.5442822,0.4869072
1,25,3,3.9,3.21,20,11.97,1.54161744,1.28329344
1,49,2,0.3,9.63,123.6363636,24.255,17.22005208,17.87193408
1,25,2,1.3,0,19.09090909,8.82,1.46422584,0.57605184
1,30,3,0,7.49,26.36363636,13.965,2.59950229,1.77699704
1,33,2,9.1,11.77,37.27272727,32.235,3.62480426,9.97494576
1,25,3,0,1.07,38.18181818,14.095,1.23279156,0.64393056
0,31,3,6.5,7.49,25.45454545,19.635,2.57223736,3.23459136
0,40,2,5.2,9.63,17.27272727,14.28,1.50704048,1.39205248
0,32,2,15.6,10.7,34.54545455,8.925,0.2071399,3.1811624
0,38,2,14.3,2.14,30,4.125,1.5313155,9.837828
0,50,2,19.5,5.35,54.54545455,2.205,0.388773,0.976248
0,33,2,15.6,9.63,21.81818182,6.93,0.53474256,1.18774656
0,37,2,20.8,10.7,51.81818182,11.025,1.38319335,5.0355396
0,52,2,5.2,4.28,20.90909091,13.125,0.17045875,2.84349
0,44,3,15.6,9.63,50,15.75,3.0646275,5.94594
0,42,2,2.6,3.21,25.45454545,7.455,0.22370964,1.87524064
0,33,4,7.8,8.56,49.09090909,2.94,0.48665232,1.15420032
0,40,2,14.3,13.91,31.81818182,8.4,1.531376,1.595776
0,37,2,19.5,1.07,70,11.13,6.65643748,2.76724448
0,46,2,31.2,10.7,91.81818182,5.88,3.62034904,2.77053504
0,46,3,27.3,14.98,102.7272727,13.86,3.86234904,12.19293504
0,35,2,0,12.84,20.90909091,0.945,0.09367578,0.13476528
0,37,2,9.1,14.98,26.36363636,5.145,0.31981026,1.20296176
0,38,4,13,4.28,39.09090909,13.65,1.1633908,4.8136608
0,25,3,3.9,4.28,21.81818182,6.615,0.6677748,0.9985248
0,29,2,0,7.49,16.36363636,13.44,0.70532352,1.78993152
0,36,2,7.8,1.07,18.18181818,1.26,0.0514008,0.2054208
0,26,3,5.2,4.28,18.18181818,3.885,0.3921852,0.4325152
0,50,2,39,8.56,91.81818182,6.72,2.2682176,4.7730176
0,28,3,10.4,1.07,36.36363636,12.39,0.5368528,4.4473728
0,36,2,11.7,8.56,43.63636364,9.765,0.50773536,4.20615936
0,37,2,22.1,4.28,38.18181818,3.15,0.1128204,1.2134304
0,38,5,1.3,18.19,27.27272727,12.075,0.392403,3.250728
0,23,2,1.3,1.07,14.54545455,6.615,0.1707552,0.9015552
0,36,2,23.4,10.7,48.18181818,11.025,1.01678115,4.9136724
0,37,4,1.3,4.28,18.18181818,8.295,1.032372,0.755872
0,35,2,15.6,12.84,61.81818182,11.34,1.65284064,6.21713664
0,32,2,5.2,2.14,16.36363636,11.235,0.27499428,1.76668128
0,26,3,0,5.35,14.54545455,7.665,0.02967888,1.18921088
0,49,2,40.3,8.56,230,7.56,11.26313496,9.26392896
0,24,4,0,2.14,18.18181818,4.935,0.2650142,0.7498192
0,50,3,7.8,1.07,60,12.705,2.8022874,5.8968624
0,31,3,7.8,4.28,19.09090909,12.075,0.44708895,2.1273252
0,35,2,19.5,3.21,29.09090909,7.98,0.59442944,2.01836544
0,47,2,24.7,23.54,70,8.82,2.78615568,4.33200768
0,39,2,15.6,14.98,40,15.435,3.62356764,3.61224864
0,29,2,13,6.42,28.18181818,18.165,1.64826442,4.16082992
0,42,2,19.5,14.98,50,5.775,1.03585075,2.255682
0,43,2,19.5,14.98,109.0909091,3.045,3.2170512,0.8541312
0,43,3,6.5,5.35,22.72727273,10.71,0.475167,2.243592
0,41,2,26,9.63,60.90909091,32.13,4.63898754,17.33485104
0,45,2,15.6,11.77,34.54545455,3.78,0.15559632,1.28898432
0,38,2,0,13.91,22.72727273,20.685,3.361017,2.233192
0,29,2,0,1.07,14.54545455,1.785,0.22083952,0.09306752
0,27,2,5.2,0,20.90909091,5.46,0.30535076,0.98138976
0,54,2,31.2,14.98,58.18181818,10.5,4.754816,2.569216
0,39,2,7.8,9.63,26.36363636,17.115,2.07624021,3.13154296
0,50,2,28.6,16.05,90.90909091,9.555,4.481477,5.612152
0,45,2,29.9,20.33,65.45454545,7.98,1.43016192,4.46164992
0,41,2,7.8,9.63,55.45454545,5.985,0.68156154,3.03027504
0,43,4,0,22.47,23.63636364,1.785,0.11979968,0.35671168
0,41,2,28.6,3.21,47.27272727,3.36,1.39732736,0.52955136
0,49,2,22.1,22.47,39.09090909,5.88,0.71093792,1.89326592
0,30,2,3.9,6.42,23.63636364,10.5,0.522236,2.255136
0,31,2,10.4,6.42,24.54545455,10.29,0.48665232,2.33356032
0,27,5,0,2.14,29.09090909,18.48,2.5895936,3.6315136
0,47,3,11.7,27.82,62.72727273,7.035,0.85585599,4.07230824
0,45,2,32.5,22.47,58.18181818,17.535,1.15099072,10.12623872
0,35,3,15.6,8.56,52.72727273,19.32,3.73189168,7.89130368
0,28,4,2.6,1.07,33.63636364,14.91,0.24793626,5.25105776
0,47,2,3.9,16.05,18.18181818,2.205,0.12705,0.3276
0,32,2,1.3,10.7,20,11.025,1.3779843,1.2180168
0,29,4,2.6,7.49,23.63636364,6.3,0.8739588,0.8712288
0,27,2,10.4,4.28,24.54545455,15.12,1.23257376,2.98411776
0,27,2,10.4,1.07,31.81818182,3.045,0.0933394,0.9753744
0,28,3,7.8,7.49,40.90909091,27.3,7.319169,5.877144
0,32,3,13,4.28,20,16.905,1.70575636,2.21757536
0,34,3,15.6,1.07,49.09090909,15.12,3.86708256,4.76326656
0,47,2,29.9,5.35,45.45454545,4.41,0.675906,1.603056
0,25,2,9.1,2.14,28.18181818,6.93,0.4084839,1.7767464
0,36,2,22.1,3.21,53.63636364,8.4,2.1873896,3.0287296
0,44,3,9.1,24.61,37.27272727,4.83,1.13874794,0.98268144
0,41,2,24.7,5.35,43.63636364,13.755,2.33580336,4.53188736
0,23,3,0,1.07,14.54545455,7.14,0.18167424,0.97537024
0,37,2,16.9,16.05,31.81818182,4.725,0.5221755,1.189188
0,49,2,5.2,2.14,23.63636364,10.92,0.1472328,2.6856128
0,37,2,23.4,2.14,38.18181818,7.77,0.24820488,3.01898688
0,48,2,1.3,12.84,18.18181818,14.7,0.979132,2.070432
0,40,4,3.9,19.26,22.72727273,3.885,0.37718725,0.637806
0,42,3,3.9,2.14,25.45454545,9.975,0.6694688,2.1909888
0,37,2,11.7,1.07,30.90909091,5.25,0.481338,1.354288
0,41,3,20.8,13.91,62.72727273,2.52,1.28441016,0.61828416
0,42,4,23.4,6.42,90.90909091,2.625,1.79685,1.0556
0,52,4,13,21.4,72.72727273,12.81,2.9996384,7.5721984
0,33,2,11.7,10.7,25.45454545,2.52,0.05773152,0.64925952
0,39,2,5.2,0,20.90909091,13.02,1.0525306,2.0614256
0,35,3,5.2,9.63,50,7.35,2.6134185,1.757756
0,28,3,6.5,7.49,25.45454545,8.19,1.23939816,1.20609216
0,41,2,24.7,8.56,41.81818182,9.555,3.04410106,1.73702256
0,36,3,3.9,8.56,19.09090909,24.255,1.69634619,3.58702344
0,30,3,6.5,9.63,30.90909091,24.99,3.75007556,5.19247456
0,49,2,33.8,22.47,90.90909091,13.44,5.544704,8.546304
0,45,5,1.3,5.35,23.63636364,11.13,1.83745276,1.28694176
0,43,2,16.9,10.7,40,1.785,0.0859826,0.7040176
0,49,2,16.9,26.75,46.36363636,24.99,4.52358984,8.73547584
0,26,2,2.6,1.07,19.09090909,0.63,0.03033954,0.10496304
0,31,2,1.3,9.63,15.45454545,7.035,0.19019022,1.02109072
0,35,2,18.2,2.14,33.63636364,2.73,0.24095214,0.79338064
0,38,2,19.5,10.7,35.45454545,3.36,0.830544,0.584064
0,33,2,14.3,12.84,40.90909091,17.85,3.313827,5.107752
0,39,2,9.1,3.21,29.09090909,20.58,3.2633216,3.7180416
0,37,5,5.2,17.12,26.36363636,11.55,2.2310222,1.4000272
0,28,2,5.2,3.21,18.18181818,5.67,0.385506,0.791856
0,42,2,13,16.05,40.90909091,19.74,2.4363108,6.7043808
0,39,4,6.5,18.19,26.36363636,25.83,1.70053158,5.95774608
0,34,2,15.6,12.84,25.45454545,3.045,0.14050036,0.72371936
0,34,2,3.9,10.7,20.90909091,6.51,0.06384202,1.42816752
0,40,2,6.5,5.35,49.09090909,11.13,1.81462248,4.39328448
0,38,2,22.1,6.42,49.09090909,4.62,0.87973776,1.71490176
0,44,4,16.9,0,74.54545455,3.465,1.59129036,1.44651936
0,43,2,18.2,8.56,47.27272727,7.665,1.12073104,2.98456704
0,31,3,5.2,9.63,17.27272727,6.615,0.82412253,0.53654328
0,41,2,28.6,9.63,102.7272727,2.73,1.19447328,2.02886528
0,38,2,7.8,9.63,23.63636364,8.715,0.03655652,2.21289952
0,35,2,10.4,7.49,24.54545455,6.09,0.93985056,0.82083456
0,44,3,27.3,11.77,110,3.255,1.65209044,2.48106144
0,43,3,28.6,18.19,68.18181818,24.78,11.950686,8.136336
0,42,2,10.4,18.19,25.45454545,3.78,0.6464304,0.4927104
0,30,2,5.2,7.49,23.63636364,14.175,1.5671799,2.3034024
0,38,3,15.6,13.91,54.54545455,8.295,2.0819502,3.1401552
0,36,3,11.7,13.91,40.90909091,10.605,1.3528647,3.5640072
0,47,4,2.6,5.35,35.45454545,5.145,0.5549544,1.5104544
0,40,2,7.8,0,37.27272727,9.345,0.32231617,3.51792792
0,23,4,0,2.14,21.81818182,8.085,1.00847208,1.05513408
0,44,2,15.6,11.77,46.36363636,22.47,2.91851274,8.84208624
0,54,2,20.8,26.75,58.18181818,9.03,2.25768576,3.78366976
0,27,3,5.2,6.42,30,5.46,0.66858792,1.20998592
0,36,3,11.7,9.63,59.09090909,6.51,2.5503049,1.9992024
0,42,3,19.5,17.12,66.36363636,3.57,1.24933952,1.50746752
0,47,2,15.6,20.33,33.63636364,9.975,1.6247033,2.2591608
0,30,2,6.5,9.63,20,2.94,0.16994208,0.49457408
0,43,2,9.1,11.77,39.09090909,4.62,0.84018044,1.24554144
0,31,3,11.7,3.21,32.72727273,1.47,0.15367968,0.39207168
0,23,2,6.5,1.07,22.72727273,9.45,0.4437675,1.95858
0,43,3,24.7,2.14,61.81818182,6.09,1.82299568,2.53488768
0,28,5,1.3,7.49,24.54545455,3.045,0.37707714,0.49022064
0,35,2,6.5,10.7,16.36363636,13.545,1.19127888,1.39097088
0,47,3,23.4,20.33,31.81818182,18.27,0.663201,5.763576
0,41,2,22.1,21.4,54.54545455,14.385,2.9639676,6.0012576
0,26,2,9.1,2.14,19.09090909,6.615,0.62912619,0.83518344
0,31,3,7.8,7.49,51.81818182,2.31,0.54775974,0.83335824
0,29,3,1.3,0,20.90909091,13.02,0.345092,2.669472
0,42,2,16.9,2.14,25.45454545,6.195,1.16736928,0.71472128
0,31,2,10.4,10.7,21.81818182,7.035,0.56813856,1.18400256
0,43,4,20.8,23.54,122.7272727,4.62,1.545291,4.849416
0,33,2,14.3,8.56,22.72727273,9.555,0.1706705,2.219308
0,43,2,20.8,18.19,61.81818182,5.67,0.54206064,3.35297664
0,44,3,6.5,3.21,37.27272727,3.57,0.4301187,1.0800712
0,30,5,1.3,3.21,23.63636364,13.02,0.45642168,2.96066368
0,32,5,2.6,8.56,22.72727273,10.5,2.1417,0.7592
0,32,2,14.3,1.07,30,8.82,0.82511352,2.17369152
0,33,2,10.4,4.28,40,8.4,2.0827488,1.8706688
0,47,3,19.5,14.98,46.36363636,19.005,1.87647768,7.98739968
0,38,2,5.2,10.7,20.90909091,17.115,1.60584666,2.51872816
0,30,2,10.4,6.42,27.27272727,7.56,0.7422624,1.6084224
0,29,3,3.9,5.35,30,13.86,1.976535,2.8314
0,38,4,16.9,3.21,35.45454545,20.16,3.38861952,4.87498752
0,35,2,15.6,11.77,29.09090909,11.865,2.54645952,1.57194752
0,33,2,11.7,5.35,23.63636364,4.725,0.3751605,0.894348
0,23,2,5.2,0,23.63636364,9.345,1.71916316,0.92893216
0,30,4,6.5,9.63,40,9.135,0.93563976,3.17693376
0,34,2,10.4,6.42,23.63636364,4.305,0.39469716,0.76939616
0,41,2,5.2,9.63,34.54545455,6.825,1.4256099,1.3434824
0,43,5,18.2,3.21,40,1.785,0.42719776,0.41074176
0,36,2,20.8,9.63,71.81818182,4.2,2.0991564,1.4821664
0,31,2,9.1,9.63,20,10.185,0.66619212,1.64676512
0,33,2,5.2,10.7,25.45454545,11.865,0.35221648,2.98782848
0,34,2,18.2,7.49,66.36363636,9.24,4.53945536,2.77927936
0,35,2,7.8,14.98,19.09090909,7.875,0.68607,1.04832
0,28,2,7.8,0,20,10.815,0.87191148,1.60722848
0,23,2,1.3,1.07,16.36363636,18.165,0.19216494,3.07339344
0,30,3,9.1,2.14,30.90909091,7.35,0.4348498,2.1014448
0,39,2,16.9,5.35,21.81818182,9.345,0.72884592,1.59499392
0,41,2,15.6,10.7,41.81818182,5.25,0.679052,1.808352
0,42,3,10.4,20.33,51.81818182,5.88,1.062138,2.406768
0,47,4,20.8,22.47,72.72727273,3.15,1.10352,1.54752
0,29,2,13,6.42,30.90909091,6.825,1.0295285,1.413516
0,30,5,0,7.49,26.36363636,25.41,1.72383134,5.81707984
0,41,2,16.9,9.63,24.54545455,8.4,1.1682792,1.2422592
0,29,2,14.3,8.56,50.90909091,17.745,5.6112056,5.0197056
0,38,2,1.3,4.28,14.54545455,9.765,0.52393968,1.09719168
0,57,2,24.7,2.14,70.90909091,16.38,5.32982736,8.07371136
0,32,2,1.3,8.56,15.45454545,11.55,0.9028173,1.1688248
0,35,3,16.9,2.14,36.36363636,7.56,0.2195424,2.8065024
0,32,2,5.2,0,30,4.41,0.60541866,0.92108016
0,35,5,11.7,10.7,25.45454545,4.515,0.45599092,0.86023392
0,52,2,10.4,28.89,42.72727273,7.245,0.48265569,2.95787544
0,30,2,3.9,7.49,17.27272727,4.305,0.31576765,0.5387564
0,50,5,3.9,24.61,40.90909091,10.29,1.1792781,3.5728056
0,38,3,0,18.19,27.27272727,10.185,0.3978843,2.6844168
0,31,4,9.1,1.07,57.27272727,5.775,0.69178725,3.009006
0,42,4,22.1,11.77,105.4545455,6.3,3.0991488,4.5746688
0,35,2,9.1,6.42,23.63636364,6.3,0.6568848,1.0578048
0,28,3,7.8,6.42,27.27272727,1.05,0.173877,0.162552
0,38,2,18.2,11.77,73.63636364,7.56,2.15935632,4.20930432
0,28,3,7.8,0,31.81818182,1.995,0.10379985,0.6023836
0,42,4,20.8,6.42,105.4545455,12.705,1.9531094,12.9187344
0,31,4,1.3,10.7,27.27272727,4.725,0.3381345,1.113372
0,36,2,20.8,3.21,68.18181818,10.92,4.785066,3.999216
0,36,4,15.6,8.56,42.72727273,7.035,1.57364977,1.92240152
0,48,2,18.2,26.75,31.81818182,10.71,1.6328466,2.3093616
0,43,3,27.3,23.54,131.8181818,12.81,3.9170967,15.0308392
0,30,2,14.3,6.42,21.81818182,2.52,0.12963456,0.48761856
0,50,4,0,28.89,17.27272727,11.34,1.02792888,1.25057088
0,50,4,22.1,27.82,102.7272727,12.6,4.0854924,10.5909024
0,25,2,6.5,2.14,15.45454545,8.295,0.36563175,1.082458
0,31,3,13,8.56,40,9.005,4.4809446,4.4311696
0,42,5,6.5,6.42,68.18181818,1.995,1.07075925,0.561678
0,24,3,0,3.21,18.18181818,5.88,0.250712,0.949312
0,25,2,9.1,3.21,20,15.12,1.02731904,2.41173504
0,48,4,11.7,10.7,54.54545455,16.065,1.943865,7.87644
0,40,3,10.4,17.12,34.54545455,0.63,0.03558852,0.20653152
0,37,3,6.5,1.07,30,2.94,0.12522048,0.85333248
