V1,V2,V3,V4,V5,V6,V7,V8,V9
0,34.96,3,3,6,2303.6,12.96,1492.64,152.52
0,33.33,2,15,11,3898.4,3.17,68.74,83.64
0,38.21,2,15,26,4518.6,27.48,3672.68,1033.2
0,19.51,2,4,2,1860.6,1.96,29.46,12.3
0,23.58,2,3,10,1506.2,8.67,157.12,120.54
0,26.83,2,16,3,3278.2,4.16,196.4,93.48
0,29.27,2,17,11,3455.4,4.82,677.58,68.88
1,21.14,2,6,4,2392.2,12.85,2425.54,44.28
0,25.2,2,13,13,3987,20,2690.68,603.93
0,30.08,2,9,4,2835.2,22.86,2651.4,440.34
0,28.46,3,6,17,2569.4,13.4,1806.88,166.05
0,21.14,2,6,4,1772,7.24,314.24,93.48
0,32.52,2,12,16,3987,21.98,1973.82,793.35
1,23.58,1,7,5,3189.6,14.94,3427.18,119.31
0,30.08,4,7,18,2569.4,28.36,1384.62,704.79
0,26.02,2,14,13,2480.8,4.49,117.84,86.1
1,18.7,1,2,2,1506.2,31.77,2003.28,328.41
0,26.02,2,5,11,2037.8,8.12,49.1,168.51
1,20.33,2,3,7,1329,13.84,363.34,164.82
0,30.89,2,7,6,4784.4,12.96,1473,519.06
1,26.02,1,2,7,1594.8,7.68,294.6,92.25
1,33.33,4,4,1,1329,30.23,1924.72,243.54
0,29.27,2,19,7,4784.4,6.14,716.86,202.95
0,34.15,4,15,1,7265.2,4.93,1296.24,170.97
0,33.33,2,16,9,4607.2,9.33,913.26,353.01
0,23.58,1,6,10,1683.4,8.23,667.76,63.96
1,30.89,4,6,7,2746.6,11.53,1306.06,190.65
0,31.71,2,24,10,10011.8,4.16,972.18,239.85
0,29.27,2,8,10,2303.6,10.43,29.46,261.99
0,26.83,2,10,8,2392.2,7.68,765.96,97.17
0,34.15,1,23,12,10720.6,4.71,1345.34,293.97
0,33.33,1,24,18,6645,27.26,9702.16,961.86
0,32.52,2,10,18,2480.8,5.26,520.46,57.81
1,43.09,2,11,19,4430,13.62,1983.64,440.34
0,22.76,2,6,8,2303.6,16.15,1276.6,271.83
0,29.27,1,14,14,5316,9.99,1689.04,371.46
0,27.64,1,11,14,3987,12.41,1099.84,421.89
0,36.59,4,4,6,3455.4,6.69,451.72,178.35
0,30.89,2,8,1,3632.6,11.09,265.14,415.74
0,17.07,4,2,3,2126.4,9.77,815.06,124.23
0,34.15,2,14,12,4518.6,24.84,2366.62,1045.5
0,42.28,2,18,26,5670.4,10.76,1836.34,447.72
0,20.33,1,6,7,2923.8,7.02,540.1,142.68
0,27.64,1,11,10,5759,8.12,2072.02,236.16
0,32.52,1,17,17,6467.8,5.04,1011.46,178.35
1,25.2,1,2,5,2392.2,15.38,1070.38,291.51
1,20.33,2,3,1,1772,8.67,461.54,107.01
0,36.59,2,14,20,3278.2,11.75,1315.88,266.91
1,18.7,2,5,1,1683.4,10.54,274.96,162.36
1,27.64,3,8,4,2392.2,40.13,1944.36,928.65
1,25.2,2,4,5,1949.2,15.27,1070.38,209.1
0,22.76,2,7,10,1949.2,4.38,137.48,59.04
0,33.33,2,9,12,3809.8,6.14,677.58,147.6
1,31.71,1,9,3,6024.8,15.6,1001.64,961.86
0,23.58,1,11,4,3189.6,2.84,127.66,46.74
0,17.07,2,7,2,2215,11.2,363.34,231.24
0,33.33,1,21,3,6024.8,7.68,1482.82,300.12
0,21.14,3,3,8,2392.2,4.49,304.42,57.81
0,26.83,2,7,11,1594.8,15.49,962.36,164.82
0,36.59,1,20,20,3101,20.44,540.1,681.42
0,31.71,2,19,21,5316,16.37,2405.9,709.71
0,19.51,2,9,3,1860.6,8.23,510.64,98.4
0,23.58,1,8,8,5050.2,3.72,441.9,98.4
0,21.95,1,3,1,2037.8,14.94,284.78,316.11
0,32.52,2,15,3,2480.8,7.79,942.72,84.87
0,23.58,2,10,11,2126.4,8.67,461.54,140.22
1,23.58,1,6,4,3278.2,8.56,1139.12,157.44
1,19.51,2,2,3,1417.6,18.9,991.82,190.65
1,21.95,2,11,7,3987,20.88,2798.7,634.68
0,33.33,4,18,23,11961,6.14,1256.96,573.18
0,25.2,2,13,9,2215,11.31,137.48,261.99
0,33.33,2,18,18,6024.8,7.24,441.9,396.06
0,34.15,1,7,4,3632.6,5.04,353.52,127.92
0,22.76,3,3,4,2303.6,14.94,373.16,350.55
0,24.39,3,4,9,2215,12.3,1738.14,89.79
0,24.39,2,13,2,2923.8,10.54,667.76,257.07
0,25.2,2,10,5,3898.4,10.1,1689.04,221.4
0,36.59,1,17,15,4518.6,21.21,1522.1,944.64
1,34.96,2,15,24,6733.6,8.01,2111.3,305.04
1,33.33,4,19,13,15593.6,11.53,11155.52,616.23
0,21.95,2,12,7,2746.6,20.33,1335.52,492
0,32.52,2,17,15,4873,7.35,844.52,266.91
0,33.33,2,17,15,10632,4.49,2612.12,100.86
1,19.51,1,4,1,2480.8,20.33,1757.78,376.38
0,33.33,1,7,6,2215,12.52,382.98,265.68
0,31.71,2,22,10,5936.2,34.96,3761.06,2050.41
0,34.96,2,14,12,3366.8,5.26,127.66,152.52
1,19.51,2,5,5,1683.4,28.14,1335.52,403.44
0,29.27,2,2,14,2215,22.97,2729.96,264.45
0,21.95,2,2,2,1417.6,3.17,176.76,11.07
0,20.33,2,6,1,2037.8,7.02,245.5,115.62
0,42.28,2,26,15,5670.4,12.3,3859.26,303.81
0,30.08,2,8,10,2569.4,19.23,1689.04,370.23
0,39.02,2,24,16,8860,11.31,3633.4,664.2
1,29.27,1,11,7,4341.4,10.76,805.24,418.2
1,29.27,1,15,7,3632.6,19.34,2867.44,468.63
0,34.96,2,25,20,6379.2,9.66,1158.76,527.67
0,31.71,2,8,10,5404.6,7.57,549.92,357.93
0,33.33,4,2,22,2303.6,3.17,98.2,41.82
0,31.71,2,24,4,4607.2,4.82,1129.3,62.73
0,38.21,2,19,22,3809.8,7.46,579.38,223.86
0,22.76,2,5,7,2303.6,12.3,422.26,266.91
0,23.58,2,10,7,2392.2,12.08,392.8,275.52
1,17.07,1,3,3,1417.6,21.1,235.68,324.72
0,29.27,2,6,11,2037.8,19.23,1306.06,297.66
0,22.76,2,10,7,2658,9.22,599.02,190.65
0,21.95,1,5,6,2923.8,15.82,1600.66,334.56
0,29.27,4,15,4,3455.4,22.42,2749.6,576.87
0,26.83,2,14,12,2835.2,13.73,2062.2,185.73
1,43.9,2,11,3,2480.8,17.58,1531.92,318.57
1,26.83,2,11,5,2569.4,16.48,1325.7,325.95
0,25.2,2,11,6,2303.6,6.25,304.42,105.78
0,17.07,2,6,1,2303.6,11.09,1394.44,109.47
0,22.76,4,7,10,3898.4,10.87,756.14,375.15
1,25.2,1,4,2,2303.6,8.78,274.96,183.27
0,26.02,2,10,7,2303.6,5.81,324.06,91.02
1,28.46,1,3,9,2126.4,15.05,579.38,296.43
0,21.14,1,8,1,3101,3.39,88.38,71.34
0,32.52,4,18,7,10277.6,14.61,1581.02,1527.66
1,35.77,2,7,4,4252.8,11.2,1934.54,289.05
0,23.58,4,3,11,2658,6.25,274.96,131.61
1,28.46,4,7,4,3278.2,7.24,569.56,174.66
0,27.64,2,18,4,6645,12.74,3878.9,473.55
0,27.64,4,14,9,4164.2,8.67,1276.6,227.55
0,37.4,2,16,26,3101,12.52,1325.7,273.06
0,33.33,1,23,23,12847,14.72,3181.68,1777.35
1,21.95,1,9,9,2658,5.7,441.9,92.25
1,21.95,3,2,7,6202,10.1,1590.84,489.54
0,22.76,2,13,7,2126.4,3.94,108.02,57.81
0,39.02,4,2,28,1683.4,13.18,834.7,147.6
0,39.02,4,19,27,10011.8,14.5,3319.16,1252.14
1,23.58,4,7,7,6202,23.19,3122.76,1322.25
1,34.96,1,11,6,5316,23.74,3967.28,1008.6
0,18.7,2,7,3,1506.2,9.99,294.6,127.92
0,23.58,1,12,9,3898.4,21.21,3633.4,523.98
0,32.52,3,7,7,6645,3.39,864.16,66.42
0,17.89,1,2,4,1772,7.46,206.22,111.93
0,18.7,2,9,4,1949.2,17.14,834.7,285.36
0,37.4,4,11,11,5316,18.13,1581.02,931.11
1,44.72,2,5,12,3544,10.1,549.92,324.72
0,30.89,1,10,17,3366.8,1.96,29.46,24.6
0,28.46,1,7,2,2923.8,4.38,98.2,100.86
0,24.39,2,13,10,2392.2,2.29,68.74,20.91
0,19.51,2,9,1,1594.8,8.45,520.46,78.72
0,21.14,1,6,4,2480.8,11.75,225.86,298.89
1,26.02,1,4,12,1329,11.31,117.84,153.75
0,30.08,1,13,5,6645,5.15,618.66,244.77
1,31.71,2,8,20,3721.2,23.19,2494.28,715.86
0,24.39,1,6,5,1860.6,21.43,481.18,412.05
0,24.39,2,12,12,3455.4,11.75,2022.92,202.95
0,26.02,1,9,11,2835.2,6.03,422.26,115.62
0,43.9,4,23,21,10454.8,17.14,9427.2,908.97
0,21.95,4,5,5,3101,15.93,1571.2,375.15
0,25.2,2,14,5,2746.6,27.37,2022.92,650.67
0,31.71,2,17,17,3455.4,3.28,137.48,68.88
0,25.2,2,7,4,2215,16.81,1158.76,289.05
0,28.46,2,17,12,3544,21.65,1188.22,761.37
0,28.46,1,12,17,8682.8,15.93,4782.34,1003.68
0,37.4,1,24,18,12758.4,13.51,3260.24,1557.18
1,26.83,2,15,4,4607.2,24.73,2661.22,1028.28
0,28.46,1,15,4,9303,3.39,1394.44,71.34
0,28.46,1,3,2,1860.6,9.99,363.34,158.67
0,30.89,2,7,14,1860.6,11.2,441.9,177.12
0,33.33,2,21,2,8505.6,9.88,2209.5,643.29
0,30.89,2,20,20,3898.4,6.25,599.02,168.51
0,27.64,4,4,15,3455.4,15.82,1119.48,493.23
0,41.46,4,18,26,7265.2,6.14,2553.2,123
0,27.64,1,12,3,2923.8,11.75,559.74,314.88
0,38.21,2,17,2,2658,28.25,2170.22,632.22
0,27.64,1,10,7,6910.8,7.24,2121.12,253.38
0,21.95,1,10,8,1594.8,14.39,392.8,214.02
1,42.28,2,11,12,2126.4,22.42,785.6,468.63
0,31.71,2,11,7,3101,6.8,225.86,186.96
0,26.83,2,9,1,1949.2,8.34,618.66,95.94
0,27.64,2,2,2,1860.6,9.22,186.58,162.36
1,25.2,4,11,8,5227.4,17.36,3054.02,676.5
0,22.76,2,4,10,1417.6,18.02,854.34,191.88
0,31.71,2,21,17,3987,5.37,903.44,92.25
0,41.46,1,24,24,10632,9.66,4065.48,612.54
0,17.89,2,6,2,1417.6,2.62,78.56,13.53
0,21.95,4,8,5,2303.6,12.74,913.26,217.71
0,26.02,2,18,11,3366.8,24.4,677.58,896.67
0,22.76,1,8,8,3366.8,9.22,756.14,241.08
1,21.95,1,3,1,1772,12.63,373.16,206.64
1,21.14,1,4,7,2126.4,16.26,1551.56,207.87
0,26.02,2,16,1,3189.6,3.94,265.14,72.57
1,24.39,2,2,12,1506.2,5.37,441.9,22.14
0,31.71,2,15,2,3366.8,11.09,1865.8,182.04
1,25.2,2,13,7,2480.8,6.58,343.7,123
1,27.64,2,17,3,3455.4,28.47,4291.34,646.98
0,25.2,2,10,4,3632.6,15.16,127.66,618.69
0,23.58,1,3,8,2215,12.74,559.74,249.69
0,23.58,2,11,1,2215,16.59,1050.74,295.2
0,28.46,1,11,17,2658,9.66,638.3,200.49
0,23.58,2,13,8,2835.2,7.9,913.26,121.77
1,30.89,1,4,17,1949.2,26.27,1188.22,466.17
0,28.46,2,18,16,3189.6,5.04,176.76,129.15
0,23.58,2,13,6,3189.6,8.01,697.22,183.27
0,18.7,1,5,5,3012.4,6.14,255.32,151.29
0,26.83,3,11,9,2835.2,7.35,491,154.98
0,41.46,1,21,26,14087.4,4.38,1050.74,415.74
0,19.51,2,6,3,1860.6,4.16,98.2,55.35
1,25.2,2,12,13,4341.4,12.08,3181.68,193.11
0,36.59,2,12,15,4607.2,7.24,913.26,231.24
0,23.58,2,5,2,1506.2,11.2,461.54,130.38
0,27.64,2,2,11,1772,20.11,2013.1,168.51
1,20.33,1,6,6,2392.2,6.8,540.1,98.4
0,30.08,2,22,3,4961.6,3.39,530.28,63.96
1,38.21,2,31,19,11429.4,29.13,20189.92,1485.84
0,34.96,1,8,25,4784.4,11.86,608.84,560.88
0,38.21,2,24,20,7176.6,7.35,1482.82,362.85
0,19.51,2,8,3,1860.6,7.02,108.02,120.54
0,21.95,4,7,2,6645,8.23,2170.22,309.96
0,20.33,2,11,5,1594.8,2.62,68.74,18.45
0,29.27,4,13,13,3898.4,17.47,441.9,740.46
0,31.71,2,18,21,5050.2,22.64,1531.92,1168.5
0,21.14,2,12,2,2215,9.11,1286.42,57.81
0,33.33,2,6,20,2215,12.41,1040.92,179.58
1,31.71,2,21,16,5316,31.11,9417.38,820.41
0,30.08,2,20,9,4784.4,14.61,4507.38,238.62
1,23.58,2,4,1,1240.4,17.14,579.38,175.89
0,34.15,2,8,10,2746.6,14.06,1001.64,316.11
0,25.2,3,3,7,2569.4,13.51,1050.74,264.45
0,29.27,2,6,16,1506.2,20.33,510.64,297.66
0,31.71,2,18,5,4607.2,23.3,4085.12,767.52
0,18.7,3,2,3,2037.8,8.67,461.54,131.61
0,31.71,2,6,16,2923.8,9,392.8,234.93
1,21.95,4,6,2,3544,4.71,274.96,118.08
0,19.51,2,10,5,2126.4,6.8,373.16,100.86
1,21.95,4,5,5,3987,13.4,284.78,573.18
0,33.33,2,18,23,4341.4,3.06,422.26,43.05
1,30.89,2,2,9,2037.8,10.21,883.8,119.31
1,32.52,1,7,13,3101,19.34,1551.56,511.68
1,43.9,2,27,13,10632,30.45,14337.2,2115.6
0,32.52,2,14,7,7885.4,20.44,2720.14,1563.33
0,32.52,2,4,5,2835.2,5.37,834.7,40.59
0,23.58,2,3,9,2746.6,10.1,157.12,285.36
0,24.39,2,10,7,2037.8,14.5,746.32,246
0,23.58,2,3,2,1594.8,2.51,29.46,20.91
1,23.58,4,5,4,4430,3.94,255.32,115.62
1,22.76,3,4,5,3632.6,4.05,451.72,70.11
0,22.76,3,2,6,3366.8,12.74,628.48,408.36
0,31.71,1,18,10,7885.4,17.03,4910,950.79
0,26.02,2,13,3,4695.8,4.93,88.38,204.18
0,29.27,1,9,17,3809.8,18.24,2602.3,488.31
0,31.71,2,22,13,3455.4,10.32,756.14,297.66
1,22.76,4,8,9,4164.2,23.08,5469.74,458.79
1,22.76,2,6,3,2480.8,16.92,432.08,435.42
0,37.4,2,8,20,2746.6,14.72,1954.18,221.4
0,24.39,1,6,9,1329,8.45,343.7,76.26
0,31.71,1,17,20,2835.2,6.69,412.44,141.45
1,32.52,4,7,4,19492,18.9,8022.94,3324.69
0,35.77,1,20,5,6556.4,16.04,4438.64,662.97
1,24.39,2,2,9,1683.4,19.56,608.84,311.19
0,19.51,1,5,1,1683.4,6.03,353.52,56.58
0,26.02,2,12,14,2835.2,13.73,1148.94,301.35
0,23.58,1,5,9,1329,4.16,147.3,29.52
0,32.52,1,4,2,3189.6,5.48,274.96,134.07
0,33.33,1,10,22,3809.8,2.07,88.38,27.06
0,17.89,2,3,4,1506.2,21.76,795.42,290.28
0,30.89,2,12,9,3012.4,2.62,39.28,45.51
0,30.08,1,8,14,5493.2,10.65,1168.58,501.84
1,33.33,4,20,7,6290.6,18.57,6451.74,563.34
1,33.33,4,9,7,4961.6,17.25,363.34,953.25
1,31.71,2,4,16,1949.2,26.71,1885.44,389.91
1,19.51,1,2,3,1329,19.01,314.24,257.07
0,26.02,4,11,11,4518.6,26.6,2641.58,1111.92
0,17.07,4,2,2,2303.6,9.77,1502.46,57.81
0,23.58,2,15,8,2392.2,3.83,68.74,67.65
0,28.46,1,16,4,7265.2,2.18,461.54,23.37
0,23.58,2,8,8,1860.6,21.21,1090.02,330.87
0,33.33,1,4,23,2658,8.67,108.02,233.7
1,30.08,2,2,19,1594.8,15.49,1551.56,91.02
0,26.02,1,5,14,4164.2,3.39,422.26,56.58
0,29.27,5,7,13,1772,10.21,716.86,109.47
0,31.71,1,20,10,3898.4,3.61,363.34,68.88
0,29.27,2,20,10,5936.2,13.62,5155.5,277.98
0,37.4,4,24,5,8771.4,3.83,815.06,178.35
0,27.64,2,15,12,4518.6,11.86,1846.16,371.46
0,21.95,2,9,5,2303.6,11.31,628.48,211.56
0,34.96,2,10,12,3987,4.93,667.76,99.63
1,26.83,2,16,9,6379.2,46.73,14749.64,1810.56
0,31.71,1,22,18,8948.6,2.84,333.88,131.61
0,23.58,2,3,5,1506.2,4.05,127.66,35.67
0,27.64,3,9,16,3544,8.34,932.9,198.03
0,21.14,2,3,1,1860.6,6.69,599.02,51.66
0,25.2,2,17,3,5316,6.58,785.6,255.84
0,21.14,2,12,7,2126.4,4.27,304.42,41.82
0,22.76,2,14,8,3987,9.77,1816.7,198.03
1,39.02,2,15,21,4430,35.18,6000.02,1142.67
1,31.71,1,4,13,4075.6,18.9,3928,413.28
0,30.08,2,5,4,2215,5.37,274.96,79.95
1,42.28,5,11,1,6202,11.64,1306.06,645.75
0,39.02,2,5,12,2392.2,24.73,1374.8,535.05
0,21.14,2,9,4,1949.2,6.91,206.22,111.93
0,37.4,5,17,1,11163.6,4.71,471.36,421.89
0,25.2,2,9,11,2037.8,6.69,225.86,110.7
0,27.64,2,15,9,4961.6,8.01,844.52,313.65
0,32.52,2,24,5,8417,5.26,618.66,343.17
1,19.51,4,4,6,1417.6,8.34,265.14,92.25
0,26.83,2,4,15,3898.4,4.71,520.46,103.32
1,43.09,3,7,30,6910.8,20.33,6815.08,806.88
1,38.21,4,11,2,4607.2,23.41,2494.28,972.93
0,28.46,2,7,6,2835.2,15.6,166.94,490.77
0,27.64,2,16,9,2480.8,20,1119.48,445.26
0,39.84,2,13,6,3455.4,12.41,2415.72,182.04
0,21.14,1,2,8,2480.8,11.53,1247.14,163.59
1,18.7,2,4,3,1417.6,11.86,785.6,89.79
0,18.7,1,2,5,1860.6,10.87,441.9,168.51
0,30.89,1,6,14,4961.6,3.06,432.08,55.35
0,22.76,1,7,3,3278.2,10.43,1099.84,239.85
1,24.39,4,2,9,5759,33.97,3829.8,1895.43
0,27.64,2,20,11,3012.4,18.24,2062.2,386.22
0,40.65,1,18,15,6290.6,13.51,1630.12,765.06
0,23.58,2,14,3,3544,8.67,1600.66,129.15
0,34.15,4,2,10,5670.4,8.56,274.96,485.85
0,25.2,2,15,13,2392.2,6.8,235.68,136.53
0,31.71,2,12,5,2746.6,6.58,176.76,159.9
0,36.59,1,23,27,11695.2,4.6,2513.92,172.2
0,36.59,2,24,25,8062.6,14.17,1237.32,1154.97
0,29.27,2,16,18,4695.8,7.57,1855.98,138.99
1,20.33,3,2,7,2126.4,14.61,1571.2,161.13
1,32.52,1,15,12,9037.2,22.09,6117.86,1605.15
1,17.89,2,6,3,2126.4,18.46,1610.48,259.53
0,31.71,2,6,10,3366.8,8.45,1158.76,158.67
0,33.33,3,16,4,3898.4,3.17,343.7,47.97
0,27.64,2,18,10,6999.4,5.7,1698.86,175.89
0,23.58,2,9,10,1949.2,11.97,540.1,194.34
0,25.2,2,6,11,2480.8,13.73,284.78,353.01
1,26.02,2,3,1,1772,6.58,304.42,79.95
0,26.02,2,16,8,6467.8,10.98,3682.5,328.41
0,26.83,2,8,15,1860.6,9.55,559.74,124.23
0,21.14,2,8,1,1949.2,12.63,707.04,190.65
0,17.07,2,3,2,1594.8,20.33,157.12,364.08
0,22.76,1,9,3,3012.4,9,353.52,248.46
0,30.08,2,15,6,2126.4,11.09,589.2,188.19
1,26.83,1,4,15,3101,26.49,2081.84,724.47
0,31.71,2,14,11,4075.6,6.8,549.92,214.02
0,32.52,1,10,20,5050.2,7.46,864.16,284.13
0,36.59,4,18,22,7088,4.6,893.62,183.27
0,21.95,2,12,7,3012.4,8.45,834.7,167.28
0,22.76,3,2,8,2569.4,27.92,1394.44,687.57
0,31.71,2,15,10,2392.2,10.1,952.54,146.37
1,32.52,2,16,22,3809.8,17.8,2739.78,450.18
0,21.95,2,13,9,4961.6,19.89,4556.48,594.09
0,29.27,2,3,5,1417.6,11.53,422.26,129.15
0,44.72,2,21,3,6910.8,18.46,4320.8,954.48
1,21.95,1,6,4,1949.2,15.82,1070.38,223.86
0,24.39,2,3,9,1506.2,13.4,736.5,137.76
1,29.27,2,12,1,2480.8,13.62,805.24,285.36
1,25.2,2,3,7,1860.6,4.05,274.96,30.75
0,26.83,1,15,3,3544,9.22,176.76,332.1
0,24.39,2,6,1,2923.8,5.92,491,109.47
1,19.51,2,3,1,1594.8,7.79,235.68,100.86
0,26.83,3,11,11,2480.8,6.03,373.16,102.09
0,40.65,2,10,28,4164.2,8.89,392.8,349.32
1,25.2,1,8,7,2835.2,26.71,3279.88,498.15
0,22.76,2,5,8,1683.4,5.81,255.32,63.96
1,35.77,4,10,11,7796.8,8.01,274.96,624.84
0,39.02,3,5,24,3987,12.08,952.54,423.12
0,29.27,1,2,18,2658,11.97,324.06,317.34
0,23.58,4,9,2,5581.8,7.35,559.74,355.47
0,32.52,4,19,12,10277.6,7.9,2513.92,541.2
0,26.83,2,9,7,2303.6,7.9,530.28,125.46
0,21.14,1,8,7,2658,2.4,137.48,19.68
0,29.27,2,16,12,7176.6,9.22,1747.96,498.15
1,23.58,1,3,8,2569.4,24.62,2288.06,469.86
0,24.39,1,10,5,4961.6,8.34,324.06,399.75
0,25.2,2,3,2,2126.4,6.25,216.04,105.78
0,34.96,2,6,3,2569.4,6.36,49.1,157.44
1,26.02,1,13,5,5050.2,27.48,5342.08,999.99
0,38.21,2,21,8,4430,34.41,3122.76,1460.01
1,37.4,2,3,16,1860.6,17.58,1355.16,212.79
0,34.96,1,18,11,7353.8,5.81,255.32,386.22
0,39.02,2,5,8,2126.4,9,746.32,113.16
0,24.39,4,10,8,5404.6,4.38,540.1,142.68
1,18.7,3,2,5,2835.2,21.54,805.24,623.61
0,29.27,3,10,1,2835.2,3.06,19.64,60.27
0,16.26,4,2,2,1506.2,3.83,39.28,43.05
0,34.96,2,18,8,7885.4,1.74,157.12,24.6
1,18.7,2,4,2,2215,6.25,117.84,123
0,33.33,2,23,3,6733.6,23.85,6824.9,1061.49
1,27.64,2,14,6,6024.8,28.91,7679.24,1137.75
0,40.65,2,13,6,3189.6,6.58,815.06,109.47
0,32.52,2,11,5,5670.4,8.56,775.78,421.89
1,23.58,1,2,9,1949.2,15.49,1021.28,221.4
0,39.02,2,2,24,2658,25.83,2612.12,495.69
0,22.76,2,6,2,1417.6,27.48,1070.38,334.56
1,38.21,4,18,27,19580.6,20.66,15505.78,2841.3
0,21.95,1,8,2,3012.4,6.14,235.68,154.98
0,23.58,1,8,11,5759,21.54,1954.18,1226.31
1,17.07,1,4,1,1772,6.25,284.78,75.03
1,23.58,2,9,6,1772,23.08,991.82,362.85
1,19.51,3,2,4,2569.4,8.56,579.38,162.36
0,35.77,2,14,4,2746.6,11.97,353.52,325.95
0,17.89,2,3,1,1594.8,6.14,265.14,63.96
0,30.89,1,15,1,5227.4,3.94,402.62,124.23
0,42.28,1,14,17,6733.6,9.77,972.18,597.78
1,20.33,2,5,3,1594.8,19.23,343.7,317.34
0,20.33,2,7,6,1949.2,13.29,392.8,246
0,41.46,1,29,22,14707.6,13.95,805.24,2247.21
0,30.89,2,23,17,5138.8,19.45,4497.56,613.77
0,35.77,2,11,21,2923.8,7.02,540.1,143.91
1,19.51,1,4,4,2303.6,11.97,873.98,200.49
0,27.64,2,7,4,2923.8,9.33,765.96,200.49
0,20.33,1,8,3,2303.6,6.25,68.74,135.3
1,36.59,4,7,18,8328.4,12.85,3545.02,769.98
0,27.64,1,6,11,2215,7.68,559.74,108.24
1,21.95,3,4,9,2037.8,7.57,314.24,121.77
1,26.83,1,12,14,5050.2,24.29,6000.02,713.4
1,28.46,1,2,17,1949.2,17.8,1934.54,163.59
0,40.65,1,17,32,5316,2.51,461.54,23.37
0,26.83,2,15,14,3721.2,5.26,225.86,157.44
1,33.33,4,15,14,8062.6,29.02,2278.24,2536.26
1,22.76,2,2,3,2480.8,37.93,2238.96,865.92
1,30.89,4,14,15,5581.8,18.9,5617.04,536.28
1,20.33,2,5,3,1417.6,20.88,991.82,226.32
1,38.21,1,6,10,2923.8,9.11,1168.58,141.45
0,24.39,1,14,10,8682.8,9.22,2887.08,506.76
0,35.77,1,14,6,7619.6,15.6,1453.36,1193.1
1,20.33,2,2,3,1594.8,22.09,500.82,355.47
1,33.33,1,8,1,3189.6,22.75,4428.82,308.73
0,17.89,4,2,2,1594.8,9.77,471.36,111.93
1,28.46,1,5,12,3544,20.22,1767.6,624.84
0,34.15,5,8,24,16834,9.88,3103.12,1434.18
0,30.89,2,5,20,2037.8,17.47,815.06,313.65
1,18.7,1,3,4,1594.8,21.87,873.98,305.04
0,22.76,4,4,6,2658,23.19,1492.64,547.35
0,42.28,2,21,26,7885.4,6.47,392.8,466.17
0,20.33,2,11,3,1772,5.15,108.02,73.8
0,22.76,1,3,5,1417.6,17.47,559.74,218.94
0,34.96,2,21,12,6999.4,9.55,765.96,632.22
0,19.51,1,5,2,2126.4,22.31,2130.94,296.43
