V1,V2,V3,V4,V5
3,9,97.1,95.5,2
3,4,82.5,72.5,2
3,7,108.8,102.4,2
3,7,108.6,103.2,2
3,11,121.7,116.8,2
3,7,94.2,110.5,2
3,8,241.6,154.2,2
3,7,121.5,122.9,2
3,9,76.3,63.4,2
3,3,115.7,116.6,2
3,8,91.4,97.3,2
3,3,206.8,183.3,2
3,5,103.7,107.9,2
3,8,107.3,100.3,2
3,4,274.3,194.2,2
3,9,128.6,110.4,2
3,3,44.7,44,2
3,8,97.5,95.6,2
3,3,115.2,110.9,2
3,3,230.6,193.4,2
3,8,104.9,111.2,2
3,8,205.6,223.4,2
3,18,186.3,138.2,1
3,1,79.6,72.1,2
3,8,93.6,88.4,2
3,6,113.9,110.2,2
3,10,192.5,160.1,2
3,9,280.2,207.2,2
3,11,107.9,93.3,2
3,5,241.2,187.7,2
3,7,234.5,189.6,2
3,4,195.8,177.6,2
3,5,77,73.9,2
3,9,214,210.3,2
3,3,102.9,94.7,2
3,5,225.8,163.4,2
3,9,224.2,209.7,2
3,7,93.8,95.7,2
3,4,232.7,200.3,2
3,9,218.5,206.5,2
3,3,92.3,95,2
3,6,71.7,68.9,2
3,2,155.1,174.3,2
3,6,68.5,64.4,2
3,12,110.9,101.8,2
3,5,134.6,125.5,2
3,5,182.6,172.6,2
3,9,96.6,90.9,2
3,10,73.3,71.2,2
3,5,103.6,91.5,2
3,11,224.8,158.9,2
3,4,201.7,214.7,2
3,5,233.7,228,2
3,5,110.3,103.2,2
3,3,90.1,76.6,2
3,8,115.4,99.2,2
3,9,78.5,79.3,2
3,5,101.4,90.8,2
3,11,226.2,182.9,2
3,4,132.5,114.7,2
3,5,224,206.2,2
3,10,147.4,150.7,2
3,4,216.7,171.6,2
3,4,226.5,148.3,2
3,5,118.8,114.7,2
3,7,90.6,85.4,2
3,8,221.2,199.9,2
3,2,91.2,90.4,2
3,1,86,91,2
3,8,128.5,129.8,2
3,5,83,86.3,2
3,3,66,69.1,2
3,5,278.1,142.4,2
3,2,91.1,81.2,2
3,6,95,86.4,1
3,1,162.4,149.5,2
3,6,227.1,159.4,2
3,1,231.2,214.9,2
3,11,107.6,99.6,2
3,5,232.6,234,2
3,7,177.4,218.9,2
3,7,87.5,95.5,2
3,4,127.5,126.5,2
3,3,232.9,182.8,2
3,2,88.2,78.1,2
3,1,105,104.4,2
3,1,181.2,193.9,2
3,4,188.3,179.7,2
3,11,116.3,108.1,2
3,1,113.7,97.1,2
3,7,104.7,102,2
3,5,258.6,179.5,2
3,11,195.1,185,2
3,11,194,192.3,2
3,12,100,105.6,2
3,12,253,213.9,2
3,4,57.4,52.8,2
3,5,78.4,75.1,2
3,11,107.9,122.2,2
3,10,206.9,219.8,2
3,4,128.7,119.5,2
3,11,242,208.7,2
3,5,80.4,71.5,2
3,6,251.8,159.6,2
3,11,108.5,104.9,2
3,6,241.2,203.6,2
3,8,135,124.7,2
3,9,85.1,99.3,2
3,12,247.2,216.8,2
3,12,232.6,173.2,2
3,4,62.8,45.4,2
3,3,250.3,209.2,2
3,4,212.1,196.9,2
3,12,78.5,67.1,2
3,8,92.7,91.2,2
3,2,93.3,89.8,2
3,6,234.8,214,2
3,4,220.7,171.3,2
3,1,136.2,104.1,2
3,2,259.8,229.6,2
3,4,103.4,97.4,2
3,1,108.6,101.9,2
3,8,210.5,187.5,2
3,7,97.4,94,2
3,8,132,124.2,2
3,9,204.8,196.5,2
3,1,120.7,103.3,2
3,6,112.4,113.9,2
3,12,98.8,87.9,2
3,7,165.9,197.9,2
3,9,113.9,98.5,2
3,5,192.5,105.4,2
3,2,192,187,2
3,1,106.8,104.2,2
3,3,101.4,98.6,2
3,2,50.6,53.4,2
3,7,210.9,160.4,2
3,5,44.4,47,2
3,6,206.4,115.7,2
3,9,63.9,49.5,2
3,1,185.4,181.1,2
3,7,214.9,180.2,2
3,2,132,109.5,2
3,1,96,99.4,2
3,5,86.4,96.7,2
3,3,115.6,107.5,2
3,8,86.6,95.4,2
3,6,236.5,153.1,2
3,8,98.4,99.2,2
3,8,204.9,206.1,2
3,5,90.1,87.7,2
3,10,233.5,179.1,2
3,8,70.4,77.9,2
3,10,240.7,195.6,2
3,2,88.6,89.7,2
3,1,110.9,97.9,2
3,2,200.5,118.5,2
3,5,68.1,57.7,2
3,11,219.8,215.1,2
3,5,200.5,180.5,2
3,9,230,200.2,2
3,11,116.7,112.2,2
3,9,113.5,101.6,2
3,8,91.6,92.2,2
3,8,205,180.4,2
3,6,80.2,78.2,2
3,2,231.3,167.7,2
3,3,195.2,187.1,2
3,7,252.8,212.3,2
3,6,235.9,245.8,2
3,7,256.6,185.6,2
3,28,110.9,101.8,1
3,8,201.8,223.1,2
3,6,131.9,134.6,2
3,2,179.9,203.2,2
3,4,100,92.8,2
3,2,66.3,73.4,2
3,4,184.2,211,2
3,1,168.4,207.2,2
3,11,118.9,106.9,2
3,4,102.7,106.9,2
3,5,202.1,162.6,1
3,3,108.7,102.1,2
3,1,95.1,88,2
3,5,221.3,197.3,2
3,3,90.5,90.6,2
3,10,207.7,173.3,2
3,10,128.8,123.5,2
3,3,124.5,110.8,2
3,7,236.4,148.3,2
3,5,92.4,78.4,2
3,12,186.3,138.2,2
3,12,95,86.4,2
3,1,230.1,215.9,2
3,1,256.9,176.1,2
3,11,87.4,78.7,2
3,3,185.8,166.4,2
3,23,65.4,72.9,1
3,7,151.2,173.4,2
3,10,115.3,102.4,2
3,1,246.4,197.9,2
3,7,98.8,95.3,2
3,6,258.7,222.3,2
3,4,101.6,102,2
3,4,218.4,224.3,2
3,12,216.7,182.2,2
3,6,195.8,163.4,2
3,6,252.1,192.5,2
3,9,275.6,175.4,2
3,7,202.9,185.9,2
3,9,260.3,223.3,2
2,19,177.6,147.2,1
2,18,126.9,98.2,1
2,22,171,173.9,1
2,20,218.7,197.2,1
2,19,100.8,99.1,1
2,24,161.5,105,1
2,17,136.5,104.7,3
2,21,135.2,114.1,1
2,13,159.1,145.8,3
2,13,141.5,89.4,2
2,21,130.1,119,1
2,21,138.6,116.7,1
2,16,113.3,88,3
2,13,167.4,150.3,2
2,17,194.3,155.1,3
2,24,116,116.8,1
2,15,113.8,85.6,3
2,18,174.8,145.3,1
2,14,164.1,159.7,3
2,24,71.5,51.5,1
2,18,168.5,116.4,1
2,22,115.6,95.1,1
2,16,150.7,136.7,3
2,23,112.8,95.9,1
2,17,175.5,167.5,3
2,17,117.4,91.5,1
2,12,144.3,132.6,2
2,17,123.9,99.3,3
2,22,132.5,93.9,1
2,22,90.7,70.5,1
2,22,126.1,98.4,1
2,18,167.2,129.8,1
2,23,96.4,72.1,1
2,22,174,104.5,1
2,16,161.4,118.1,3
2,20,131.4,88.5,1
2,19,123.4,83.1,1
2,19,215.1,180.7,1
2,15,144.6,99.7,3
2,16,202.6,155.7,3
2,21,165.7,165.2,1
2,13,173.4,143.5,3
2,13,141.8,98.5,2
2,24,83.1,79.5,1
2,17,109.9,82.7,1
2,21,262.4,201.1,1
2,21,89.2,78,1
2,18,156.2,114.3,1
2,21,102.6,99.6,1
2,15,114.9,98.5,3
2,21,199.5,152.6,1
2,13,138,110.4,2
2,14,73.1,51.1,3
2,19,119.8,105.7,1
2,13,149.9,74.6,2
2,19,127.9,116.4,1
2,21,137.1,113.4,1
2,14,130.8,117.8,3
2,15,107.2,53.2,3
2,17,129.4,80.5,1
2,18,82,28.8,1
2,22,165.1,116,1
2,17,188.8,169.8,1
2,16,223.2,202.2,3
2,20,127.9,111.7,1
2,22,106.9,104.6,1
2,18,128.1,127.8,1
2,23,118.7,111,1
2,22,111.6,86.2,1
2,16,156.3,84.6,3
2,20,140.4,66.8,1
2,13,115.7,106.6,2
2,17,147.4,115.6,3
2,17,89.6,49.6,3
2,20,123.2,106.3,1
2,20,139.9,138.5,1
2,19,186.1,167.5,1
2,13,145.8,156.4,2
2,17,184,138.6,1
2,20,135.9,131.9,1
2,19,117.1,123.4,1
2,17,112.5,101,1
2,22,144,102.2,1
2,17,201.5,156.7,1
2,19,113.7,81.6,1
2,17,155.4,135.6,3
2,19,117,106,1
2,15,127.8,129.2,3
2,19,146.5,115.1,1
2,12,115.5,104.4,1
2,18,166.2,153.3,1
2,22,124.5,121.1,1
2,19,50.7,24.5,1
2,20,214.3,144,1
2,16,160.9,113.5,3
2,19,120.9,93.2,1
2,13,132.2,129.2,3
2,14,127.8,103.8,3
2,21,139.4,102.1,1
2,13,133.8,121.4,3
2,18,66.9,56.7,1
2,21,131.6,110.4,1
2,18,103.2,82.3,1
2,16,111.8,97.8,3
2,22,190.2,150.3,1
2,20,142.8,140.8,1
2,20,184.7,143.8,1
2,16,172.3,162.6,3
2,18,210.8,155.6,1
2,18,148.8,115.7,1
2,19,179.2,158.2,1
2,13,96.9,69.4,2
2,18,210.8,197.6,1
2,15,57.5,67.7,3
2,21,171.2,128.8,1
2,16,215.9,195.2,3
2,21,187.6,135.4,1
2,15,106.6,103.3,3
2,23,221.7,196.6,1
2,17,153.7,129.2,1
2,17,167.8,119,3
2,19,134.3,106.4,1
2,23,159.2,71.2,1
2,20,97.4,101,1
2,1,195.1,167,1
2,22,178.5,149.9,1
2,12,113,103.1,2
2,12,136.4,80.5,2
2,15,122.1,150.4,3
2,23,226.5,220.6,1
2,14,173.4,135.7,3
2,20,118.2,102.4,1
2,21,196.4,193.4,1
2,24,141.3,127.8,1
2,13,111,65.3,3
2,15,273.8,184.5,3
2,20,108.3,93.7,1
2,21,103,81.4,1
2,11,141.3,127.8,1
2,13,163.3,153.5,3
2,12,148.8,106.5,2
2,24,213.3,158.1,1
2,16,192.3,130.6,3
2,14,99.5,80.5,3
2,23,153.7,102.2,1
2,15,90,106.7,3
2,18,184.1,176.5,1
2,12,140.1,103,2
2,15,201.6,185.1,3
2,16,102.4,93.3,3
2,18,115.7,112.3,1
2,21,169.1,114.8,1
2,18,191.3,162.3,1
2,18,153.6,122.8,1
2,18,247,231.8,1
2,24,218.4,207.7,1
2,23,190.2,171.6,1
2,21,108.6,91.9,1
2,18,187.4,133.8,1
2,14,170.9,152.5,3
2,16,144.9,136.1,3
2,23,152.4,125.4,1
2,15,273.3,223,3
2,16,126.8,111.3,3
2,23,144.5,121.2,1
2,19,94.4,62.8,1
2,14,172.9,184.9,3
2,23,232.9,215.6,1
2,22,125.8,94.2,1
2,23,225.1,246.3,1
2,20,172.5,180.8,1
2,20,146.6,161.2,1
2,19,215.5,196.5,1
2,17,120.5,93.4,1
2,14,155.4,123.1,3
2,20,153.2,114.2,1
2,23,206.9,197.1,1
2,21,172.9,147.9,1
2,22,147.2,78.7,1
2,22,178.9,110.9,1
2,14,153.8,139,3
2,21,177,156.7,1
2,24,247.7,211.9,1
2,19,170.3,151.8,1
2,23,118.6,139.9,1
2,24,108.3,93.7,1
2,13,151.3,123.5,3
2,17,111.9,90,3
2,21,138.9,107.4,1
2,24,115.5,104.4,1
2,22,148.6,129.7,1
2,24,168.9,164.9,1
2,14,186.9,117.6,3
2,14,98.8,80.3,3
2,17,153.2,78.5,3
2,17,65.6,62,3
2,23,93.4,92.7,1
2,15,130.5,97,3
2,23,149,156.1,1
2,12,123.9,130.9,2
2,21,118.2,77.6,1
2,21,137.1,138.5,1
2,18,198.3,137.8,1
2,13,173.7,150.2,3
2,21,139.7,119.4,1
2,27,176.4,169.4,1
2,15,151.8,109.2,3
2,19,168.7,153,1
2,16,176.1,115.2,3
2,19,158.1,107.6,1
2,13,147.6,133.6,3
2,6,168.9,164.9,1
2,21,230.5,205.9,1
2,8,116,116.8,1
2,13,135.4,119.6,2
2,22,125.3,121.2,1
2,15,100.6,81.3,3
2,22,194.1,199,1
2,21,168,105.6,1
2,19,154.6,131.7,1
2,19,233.3,193.2,1
2,23,127.3,111.9,1
2,3,71.5,51.5,1
2,23,184.6,145.9,1
2,18,182.8,169.5,1
2,17,120.8,116.6,1
2,15,120.1,109.6,3
2,22,102.1,78.1,1
2,11,140.4,125.9,1
2,16,274.3,243.6,3
2,14,124.6,90.6,3
2,20,230.6,204.6,1
2,22,124.4,100.1,1
2,17,270.3,225.2,3
2,14,102.3,85.5,3
2,18,256.1,249.8,1
2,18,172.3,148.3,1
2,12,142,136,2
2,18,147.4,94.9,1
2,21,171.3,132.8,1
2,13,164.3,122.3,2
2,12,216.9,179.8,2
2,13,228.5,200.7,3
2,18,213.1,195.8,1
2,13,82.6,58,2
2,16,135.3,135.7,3
2,14,117.2,99.4,3
2,22,120.8,126.6,1
2,17,166.5,117.6,1
2,23,92.1,64.3,1
2,16,139.2,119.4,3
2,16,130.1,116,3
2,15,195.1,186.2,3
2,22,94.3,56.4,1
2,14,218.6,221.4,3
2,23,182.5,178,1
2,21,155,128.9,1
2,17,125.2,125.2,3
2,18,180.3,133.7,1
2,16,147.8,120.2,3
2,15,176.7,149.6,3
2,21,160,125.6,1
2,20,144,118.2,1
2,24,223.2,226.6,1
2,16,76.3,76.4,3
2,20,185.9,184.7,1
2,23,123.9,101.5,1
2,17,184.8,158.2,1
2,8,83.1,79.5,1
2,20,100.8,69.6,1
2,15,176.9,122.3,3
2,17,141.9,126.3,1
2,23,155,158.1,1
2,18,153.4,101.4,1
2,24,118.2,77.6,1
2,22,193.1,188.4,1
2,22,165.4,126.2,1
2,21,86.5,71.8,1
2,14,96.9,70.7,3
2,13,124.7,91.8,3
2,15,203.6,164.8,3
2,15,142.5,133.6,3
2,14,206.9,197.1,1
2,17,160.9,132.1,1
2,20,89.6,66.1,1
2,13,74.8,77.7,2
2,23,102.6,95,1
2,20,144.7,72.9,1
2,19,224.5,174.8,1
2,21,225.2,160.7,1
2,24,179.1,185,1
2,13,145.2,152.6,2
2,22,124.4,101,1
2,14,188.5,170.8,3
2,18,153.4,138.3,1
2,23,247.7,211.9,1
2,21,230.2,246,1
2,16,157.5,138,3
2,28,223.2,226.6,1
2,13,131.1,123.3,2
2,19,115.6,103.5,1
2,12,119.7,90.5,2
2,19,78.8,88,1
2,22,135.1,120.4,1
2,19,207.1,179.6,1
2,16,190.5,182.9,3
2,17,141.3,77.3,1
2,18,126.8,132.4,1
2,13,183.8,156.9,2
2,13,98.6,83.6,2
2,13,160.7,130.8,3
2,18,125.1,132.1,1
2,17,137,125.7,3
2,22,169.9,164.7,1
2,16,152,132.7,3
2,23,120.6,107.5,1
2,21,190.4,186.4,1
2,18,208.6,203.2,1
2,15,179.1,185,1
2,21,232,214.6,1
2,21,157.4,149.5,1
2,15,161.3,181.7,3
2,16,147,122,3
2,21,127,79.4,1
2,17,138.5,121.3,1
2,20,156.6,133.8,1
2,13,174.6,145.4,2
2,12,143.4,109.5,2
2,21,53.7,52.5,1
2,18,202.8,185.7,1
2,23,118.5,101.3,1
2,15,194.3,182.3,3
2,14,250.6,210.8,3
2,12,160.1,163.7,2
2,14,152,129.2,3
2,12,157.6,132.2,2
2,21,230.1,176.2,1
2,17,174.1,142.4,1
2,12,165.5,156.9,2
2,14,232.9,228.2,3
2,12,192.7,154.8,2
2,19,97.6,100.4,1
2,20,165.9,146.8,1
2,14,213.3,158.1,1
2,13,113.2,90.3,2
2,19,149,115.5,1
2,16,146.9,128.8,3
2,23,184.3,124.6,1
2,20,121.5,138.3,1
2,13,230.3,208.3,2
2,23,140.4,125.9,1
2,14,218.4,207.7,1
2,16,214,162.6,3
2,14,148.7,145.3,3
2,23,126.6,110.8,1
2,15,113.9,107.5,3
2,12,134.1,102.6,2
2,24,221.3,195.7,1
2,17,150.9,143.1,3
2,14,149.1,167.2,3
2,14,149.5,125.2,3
2,13,24.6,35.2,3
2,23,176.4,169.4,1
2,21,140.2,131.5,1
2,22,144.3,130.8,1
2,21,213,206.8,1
2,19,171.9,129.3,1
2,12,77.4,67.8,2
2,13,136.8,164.4,3
2,13,99.1,85.6,2
2,19,150,157.5,1
2,13,178.1,141.3,3
2,15,85.9,83.5,3
2,15,193.5,186.5,3
2,13,94.7,105.5,3
2,21,190.8,169.4,1
2,21,124.4,84.6,1
2,17,91.5,90.2,3
2,20,100.2,93.2,1
2,14,111.3,103,3
2,16,109.1,77.3,3
2,17,100.1,120.1,3
2,13,168.7,179.4,2
2,17,130.4,104.9,3
2,20,131.9,103.3,1
2,15,141.3,124.3,3
2,2,161.5,105,1
2,19,214,199.6,1
2,15,101.8,70.3,3
2,18,179.6,193.7,1
2,18,112.3,98.9,1
2,18,136,82.6,1
2,23,144.4,117.2,1
2,18,106,97.5,1
2,19,139.6,131.9,1
2,24,195.1,167,1
2,14,144,74.5,3
2,15,150.6,105.6,3
2,23,250.3,227.5,1
2,20,144.4,97.2,1
2,15,180.6,148.1,3
2,13,137.2,115,2
2,18,236.6,223.2,1
2,17,132.2,127.2,1
2,14,169.2,140.2,3
2,21,151.9,142.8,1
2,23,109.9,78,1
2,21,137.8,102.5,1
2,15,143.1,149.9,3
2,15,158.2,115.6,3
2,16,138.1,115.7,3
2,17,162.7,149.8,3
2,16,175.7,158,3
2,4,221.3,195.7,1
2,23,113.1,76.9,1
2,20,125,96,1
2,12,155.2,70.4,2
1,29,249.8,181.3,1
1,12,251.5,95.2,1
1,30,261.3,131.9,1
1,28,201.4,144.6,1
1,25,219.9,170.2,1
1,27,103,127.3,1
1,29,212.9,153.9,1
1,24,214.7,172.6,1
1,25,252.2,158,1
1,28,202.2,161,1
1,25,193.9,105.5,1
1,25,244.6,184.8,1
1,29,253.2,160.4,1
1,29,200.6,135.5,1
1,27,230,126.9,1
1,30,202.9,134.7,1
1,28,236.7,107.3,1
1,27,269.9,183.6,1
1,19,206.9,142.6,1
1,24,197.3,227.8,1
1,27,166.8,168.8,1
1,26,141.9,94.1,1
1,30,145.2,128,1
1,29,167.5,88.1,1
1,25,171.7,165.3,1
1,30,237.2,120.7,1
1,30,221.7,201.6,1
1,29,240.8,166.1,1
1,27,171.1,136.4,1
1,26,242.1,144.7,1
1,28,167,141.4,1
1,30,189.9,207.1,1
1,30,167.9,116.7,1
1,30,214,177.8,1
1,26,177.6,132.4,1
1,28,161.3,155.2,1
1,30,201.2,171,1
1,28,194.1,169.2,1
1,28,210.7,161.7,1
1,25,157.5,120.4,1
1,28,254.4,180.3,1
1,29,170.2,115.3,1
1,28,120,117.7,1
1,28,188.9,180.1,1
1,29,178.4,120.5,1
1,28,196.8,163.7,1
1,27,140.7,95.9,1
1,24,227.6,184.1,1
1,26,239.6,170.9,1
1,24,179,68.3,1
1,25,237.7,157.5,1
1,27,158.9,118.3,1
1,24,175.5,147.2,1
1,27,201.5,198.1,1
1,27,134,165.6,1
1,27,159.3,166.4,1
1,26,203.9,136.4,1
1,29,175.7,105.6,1
1,27,210.3,168.6,1
1,26,238.6,142.6,1
1,27,194.8,145.8,1
1,26,201.8,121.8,1
1,29,188,99,1
1,27,253.6,143.7,1
1,26,122.4,145.2,1
1,26,197.2,158.9,1
1,25,223.9,57.7,1
1,26,173.4,177.7,1
1,26,271.5,137.9,1
1,26,173.1,90,1
1,25,165.3,175.5,1
1,25,228.4,215.5,1
1,29,167.1,176.5,1
1,25,263,246.8,1
1,29,160.5,128.8,1
1,25,211.2,122.6,1
1,25,254.2,158.3,1
1,25,202.8,159.6,1
1,29,277.6,194.1,1
1,25,182.3,135.9,1
1,26,193.8,151.8,1
1,25,280.1,183.9,1
1,24,173,178.8,1
1,30,215.1,210.5,1
1,29,298.5,132.6,1
1,28,214.4,87,1
1,27,240,139.1,1
1,25,167.1,103.6,1
1,25,261.8,193.7,1
1,9,202.9,134.7,1
1,25,148,79,1
1,26,260.7,215.9,1
1,29,213.5,144.6,1
1,28,262.1,194.9,1
1,26,152.4,102.7,1
1,24,161.1,133.6,1
1,28,271.1,161.5,1
1,25,173.7,145.3,1
1,24,123,77.9,1
1,30,236.6,156.2,1
1,24,202.9,174.1,1
1,28,235,188.9,1
1,30,206.9,142.6,1
1,30,262.2,169.1,1
1,29,222.6,149,1
1,30,251.5,95.2,1
1,25,173.5,144.6,1
1,27,90.4,101.2,1
1,28,177.3,189.7,1
1,26,215.5,157.1,1
1,26,252.5,144.2,1
1,26,220.9,142.1,1
1,27,157.3,118.5,1
1,30,251.7,151.2,1
1,24,233.8,187.6,1
1,25,225.9,141,1
1,30,229.2,178.7,1
1,25,213.4,159.7,1
1,30,194.4,147.9,1
1,29,178.2,169.8,1
1,25,291.6,110.4,1
1,25,176.2,130.1,1
1,24,134.2,124.9,1
1,29,133.4,119.7,1
1,27,223.8,189.1,1
1,29,209.1,97.7,1
1,28,184.8,100.8,1
1,25,174,145.3,1
1,30,257.1,147.6,1
1,28,194.9,180.8,1
1,28,199.6,163.7,1
1,24,247.9,181.1,1
1,27,247.1,203.8,1
1,30,171.4,104.8,1
1,28,173.4,174.2,1
1,27,151.6,173.5,1
1,28,143.7,84.3,1
1,26,239.8,145.2,1
1,28,156.6,141.4,1
1,25,170.3,146.4,1
1,27,215.7,152.8,1
1,28,142.6,109.2,1
1,24,188.5,87.8,1
1,27,262,101.3,1
1,29,130.2,91.2,1
1,25,209.6,186.6,1
1,28,215.4,161,1
1,27,189.1,111.1,1
1,27,238.6,214.6,1
1,27,244.6,200.3,1
1,28,123,105.8,1
1,30,233.4,136.9,1
1,30,226,150.1,1
1,12,189.9,207.1,1
1,25,116.2,173.9,1
1,25,173,139.5,1
1,28,179.6,177.8,1
1,25,176.2,164.5,1
1,25,137.1,170.4,1
1,25,230.2,156.6,1
1,25,155.1,103.1,1
1,28,177.5,193,1
1,27,95.6,105.1,1
1,26,229.2,96.5,1
1,29,242.1,165.7,1
1,28,110.3,72,1
1,27,206.5,192.1,1
1,25,145.9,155.7,1
1,27,242.6,198.6,1
1,25,210.3,162.8,1
1,28,204.5,161.8,1
1,29,173.6,138,1
1,30,157.6,213.4,1
1,27,214.6,105.2,1
1,30,233.5,191.7,1
1,25,174,133.3,1
1,30,197.3,116.8,1
1,27,270,147.9,1
1,26,190.4,144.4,1
1,24,178.9,158.1,1
1,29,205.6,143.4,1
1,27,200.1,191.2,1
1,28,272.8,230.6,1
1,26,203.2,69.3,1
1,25,225.5,149.8,1
1,26,181,135.8,1
1,28,241.5,162.8,1
1,30,258.6,146.6,1
1,26,177.8,132.6,1
1,25,233,118,1
1,16,258.6,146.6,1
1,29,245.2,197.1,1
1,30,189.7,118.5,1
1,30,273.6,179.5,1
1,25,189.9,140.4,1
1,26,121.5,113.3,1
1,26,249.5,165.6,1
1,27,194.2,200.1,1
1,27,221.3,91.3,1
1,25,241,178.7,1
